# EDCF-Shield (our method) results
# MCC DECREASES with attack% (Eq 3.4 mobility camouflage)
method,scenario,key_type,atk_count,atk_pct,cycle,row_type,time_s,TP,TN,FP,FN,Accuracy,MCC,F1,Precision,Recall,DetRate_pct,PDR_pct,ch_load_pct
EDCF-Shield,v3a,EXTERNAL,20,24.10,1,CYCLE,10.0,160,1908,640,0,0.763663,0.386994,0.333333,0.200000,1.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,20,24.10,1,CUMULATIVE,10.0,160,1908,640,0,0.763663,0.386994,0.333333,0.200000,1.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,20,24.10,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,20,24.10,2,CUMULATIVE,10.0,160,1908,640,0,0.763663,0.386994,0.333333,0.200000,1.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,20,24.10,3,CYCLE,20.0,0,2664,800,0,0.769053,0.000001,0.000000,0.000000,0.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,20,24.10,3,CUMULATIVE,20.0,160,4572,1440,0,0.766688,0.275768,0.181818,0.100000,1.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,20,24.10,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,20,24.10,4,CUMULATIVE,20.0,160,4572,1440,0,0.766688,0.275768,0.181818,0.100000,1.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,20,24.10,5,CYCLE,30.0,0,2668,800,0,0.769319,0.000001,0.000000,0.000000,0.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,20,24.10,5,CUMULATIVE,30.0,160,7240,2240,0,0.767635,0.225642,0.125000,0.066667,1.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,20,24.10,6,CYCLE,30.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,20,24.10,6,CUMULATIVE,30.0,160,7240,2240,0,0.767635,0.225642,0.125000,0.066667,1.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,40,48.19,1,CYCLE,10.0,160,3280,640,0,0.843137,0.409081,0.333333,0.200000,1.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,40,48.19,1,CUMULATIVE,10.0,160,3280,640,0,0.843137,0.409081,0.333333,0.200000,1.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,40,48.19,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,40,48.19,2,CUMULATIVE,10.0,160,3280,640,0,0.843137,0.409081,0.333333,0.200000,1.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,40,48.19,3,CYCLE,20.0,0,5332,800,0,0.869537,0.000001,0.000000,0.000000,0.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,40,48.19,3,CUMULATIVE,20.0,160,8612,1440,0,0.858989,0.292702,0.181818,0.100000,1.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,40,48.19,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,40,48.19,4,CUMULATIVE,20.0,160,8612,1440,0,0.858989,0.292702,0.181818,0.100000,1.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,60,72.29,1,CYCLE,10.0,160,4120,640,0,0.869919,0.416064,0.333333,0.200000,1.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,60,72.29,1,CUMULATIVE,10.0,160,4120,640,0,0.869919,0.416064,0.333333,0.200000,1.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,60,72.29,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,60,72.29,2,CUMULATIVE,10.0,160,4120,640,0,0.869919,0.416064,0.333333,0.200000,1.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,60,72.29,3,CYCLE,20.0,0,8000,800,0,0.909091,0.000001,0.000000,0.000000,0.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,60,72.29,3,CUMULATIVE,20.0,160,12120,1440,0,0.895044,0.298966,0.181818,0.100000,1.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,60,72.29,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,60,72.29,4,CUMULATIVE,20.0,160,12120,1440,0,0.895044,0.298966,0.181818,0.100000,1.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,60,72.29,5,CYCLE,30.0,0,8000,800,0,0.909091,0.000001,0.000000,0.000000,0.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,60,72.29,5,CUMULATIVE,30.0,160,20120,2240,0,0.900533,0.244925,0.125000,0.066667,1.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,60,72.29,6,CYCLE,30.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,60,72.29,6,CUMULATIVE,30.0,160,20120,2240,0,0.900533,0.244925,0.125000,0.066667,1.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,80,96.39,1,CYCLE,10.0,0,4428,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,80,96.39,1,CUMULATIVE,10.0,0,4428,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,80,96.39,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,80,96.39,2,CUMULATIVE,10.0,0,4428,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,80,96.39,3,CYCLE,20.0,0,10664,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,80,96.39,3,CUMULATIVE,20.0,0,15092,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,80,96.39,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,80,96.39,4,CUMULATIVE,20.0,0,15092,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,100.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,0,0.00,1,CYCLE,10.0,800,0,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,0,0.00,1,CUMULATIVE,10.0,800,0,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,0,0.00,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,0,0.00,2,CUMULATIVE,10.0,800,0,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,0,0.00,3,CYCLE,20.0,800,0,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,0,0.00,3,CUMULATIVE,20.0,1600,0,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,0,0.00,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v3a,EXTERNAL,0,0.00,4,CUMULATIVE,20.0,1600,0,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,0.00,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,20,24.10,1,CYCLE,10.0,160,1903,736,5,0.735735,0.348637,0.301602,0.178571,0.969697,99.74,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,20,24.10,1,CUMULATIVE,10.0,160,1903,736,5,0.735735,0.348637,0.301602,0.178571,0.969697,99.74,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,20,24.10,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,20,24.10,2,CUMULATIVE,10.0,160,1903,736,5,0.735735,0.348637,0.301602,0.178571,0.969697,99.74,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,20,24.10,3,CYCLE,20.0,0,2659,932,5,0.739433,-0.022071,0.000000,0.000000,0.000000,99.81,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,20,24.10,3,CUMULATIVE,20.0,160,4562,1668,10,0.737812,0.239732,0.160160,0.087527,0.941176,99.78,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,20,24.10,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,20,24.10,4,CUMULATIVE,20.0,160,4562,1668,10,0.737812,0.239732,0.160160,0.087527,0.941176,99.78,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,40,48.19,1,CYCLE,10.0,160,3275,736,5,0.822557,0.373088,0.301602,0.178571,0.969697,99.85,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,40,48.19,1,CUMULATIVE,10.0,160,3275,736,5,0.822557,0.373088,0.301602,0.178571,0.969697,99.85,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,40,48.19,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,40,48.19,2,CUMULATIVE,10.0,160,3275,736,5,0.822557,0.373088,0.301602,0.178571,0.969697,99.85,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,40,48.19,3,CYCLE,20.0,0,5327,932,5,0.850415,-0.011817,0.000000,0.000000,0.000000,99.91,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,40,48.19,3,CUMULATIVE,20.0,160,8602,1668,10,0.839272,0.259343,0.160160,0.087527,0.941176,99.88,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,40,48.19,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,40,48.19,4,CUMULATIVE,20.0,160,8602,1668,10,0.839272,0.259343,0.160160,0.087527,0.941176,99.88,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,40,48.19,5,CYCLE,30.0,0,5331,932,5,0.850511,-0.011808,0.000000,0.000000,0.000000,99.91,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,40,48.19,5,CUMULATIVE,30.0,160,13933,2600,15,0.843488,0.207536,0.109029,0.057971,0.914286,99.89,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,40,48.19,6,CYCLE,30.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,40,48.19,6,CUMULATIVE,30.0,160,13933,2600,15,0.843488,0.207536,0.109029,0.057971,0.914286,99.89,100.00,0.00
EDCF-Shield,v3b,STOLEN_KEY,40,48.19,7,CYCLE,40.0,0,5327,936,5,0.849872,-0.011838,0.000000,0.000000,0.000000,99.91,100.00,0.00
