# EDCF-Shield (our method) results
# MCC DECREASES with attack% (Eq 3.4 mobility camouflage)
method,scenario,key_type,atk_count,atk_pct,cycle,row_type,time_s,TP,TN,FP,FN,Accuracy,MCC,F1,Precision,Recall,DetRate_pct,PDR_pct,ch_load_pct
EDCF-Shield,v2b,STOLEN_KEY,20,24.10,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v2b,STOLEN_KEY,20,24.10,2,CUMULATIVE,10.0,884,0,0,1740,0.336890,-0.000000,0.503991,1.000000,0.336890,0.00,65.45,43.18
EDCF-Shield,v2b,STOLEN_KEY,20,24.10,3,CYCLE,20.0,920,0,0,2400,0.277108,-0.000001,0.433962,1.000000,0.277108,0.00,59.02,51.22
EDCF-Shield,v2b,STOLEN_KEY,20,24.10,3,CUMULATIVE,20.0,1804,0,0,4140,0.303499,-0.000000,0.465669,1.000000,0.303499,0.00,61.99,47.51
EDCF-Shield,v2b,STOLEN_KEY,20,24.10,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v2b,STOLEN_KEY,20,24.10,4,CUMULATIVE,20.0,1804,0,0,4140,0.303499,-0.000000,0.465669,1.000000,0.303499,0.00,61.99,47.51
EDCF-Shield,v2b,STOLEN_KEY,40,48.19,1,CYCLE,10.0,884,0,0,3000,0.227600,-0.000001,0.370805,1.000000,0.227600,0.00,55.01,56.24
EDCF-Shield,v2b,STOLEN_KEY,40,48.19,1,CUMULATIVE,10.0,884,0,0,3000,0.227600,-0.000001,0.370805,1.000000,0.227600,0.00,55.01,56.24
EDCF-Shield,v2b,STOLEN_KEY,40,48.19,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v2b,STOLEN_KEY,40,48.19,2,CUMULATIVE,10.0,884,0,0,3000,0.227600,-0.000001,0.370805,1.000000,0.227600,0.00,55.01,56.24
EDCF-Shield,v2b,STOLEN_KEY,60,72.29,1,CYCLE,10.0,884,0,0,3780,0.189537,-0.000001,0.318673,1.000000,0.189537,0.00,50.65,61.69
EDCF-Shield,v2b,STOLEN_KEY,60,72.29,1,CUMULATIVE,10.0,884,0,0,3780,0.189537,-0.000001,0.318673,1.000000,0.189537,0.00,50.65,61.69
EDCF-Shield,v2b,STOLEN_KEY,60,72.29,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v2b,STOLEN_KEY,60,72.29,2,CUMULATIVE,10.0,884,0,0,3780,0.189537,-0.000001,0.318673,1.000000,0.189537,0.00,50.65,61.69
EDCF-Shield,v2b,STOLEN_KEY,80,96.39,1,CYCLE,10.0,84,0,0,4080,0.020173,-0.000003,0.039548,1.000000,0.020173,0.00,20.00,100.00
EDCF-Shield,v2b,STOLEN_KEY,80,96.39,1,CUMULATIVE,10.0,84,0,0,4080,0.020173,-0.000003,0.039548,1.000000,0.020173,0.00,20.00,100.00
EDCF-Shield,v2b,STOLEN_KEY,80,96.39,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v2b,STOLEN_KEY,80,96.39,2,CUMULATIVE,10.0,84,0,0,4080,0.020173,-0.000003,0.039548,1.000000,0.020173,0.00,20.00,100.00
