sim_time_s,flowmod_cumulative,flowmod_attack_cumulative,excess_rate_per_s
58.9981,65980,0,0.0000
1.9981,0,0,0.0000
2.9981,30,0,0.0000
3.9981,100,0,0.0000
4.9981,180,0,0.0000
5.9981,260,0,0.0000
6.9981,340,0,0.0000
7.9981,420,0,0.0000
8.9981,500,0,0.0000
9.9981,580,0,0.0000
10.9981,660,0,0.0000
11.9981,740,0,0.0000
12.9981,820,0,0.0000
13.9981,900,0,0.0000
14.9981,980,0,0.0000
15.9981,1060,0,0.0000
16.9981,1140,0,0.0000
17.9981,1220,0,0.0000
18.9981,1300,0,0.0000
19.9981,1380,0,0.0000
20.9981,1460,0,0.0000
21.9981,1540,0,0.0000
22.9981,1620,0,0.0000
23.9981,1700,0,0.0000
24.9981,1780,0,0.0000
25.9981,1860,0,0.0000
26.9981,1940,0,0.0000
27.9981,2020,0,0.0000
28.9981,2100,0,0.0000
29.9981,2180,0,0.0000
30.9981,2260,0,0.0000
31.9981,2340,0,0.0000
32.9981,2420,0,0.0000
33.9981,2500,0,0.0000
34.9981,2580,0,0.0000
35.9981,2660,0,0.0000
36.9981,2740,0,0.0000
37.9981,2820,0,0.0000
38.9981,2900,0,0.0000
39.9981,2980,0,0.0000
40.9981,3060,0,0.0000
1.9981,0,0,0.0000
2.9981,30,0,0.0000
3.9981,100,0,0.0000
4.9981,210,0,0.0000
5.9981,360,0,0.0000
6.9981,520,0,0.0000
7.9981,680,0,0.0000
8.9981,840,0,0.0000
9.9981,1000,0,0.0000
10.9981,1160,0,0.0000
11.9981,1320,0,0.0000
12.9981,1480,0,0.0000
13.9981,1640,0,0.0000
14.9981,1800,0,0.0000
1.9981,0,0,0.0000
2.9981,30,0,0.0000
3.9981,100,0,0.0000
4.9981,210,0,0.0000
5.9981,360,0,0.0000
6.9981,550,0,0.0000
7.9981,780,0,0.0000
8.9981,1020,0,0.0000
9.9981,1260,0,0.0000
10.9981,1500,0,0.0000
11.9981,1740,0,0.0000
12.9981,1980,0,0.0000
13.9981,2220,0,0.0000
14.9981,2460,0,0.0000
1.9981,0,0,0.0000
2.9981,30,0,0.0000
3.9981,100,0,0.0000
4.9981,210,0,0.0000
5.9981,360,0,0.0000
6.9981,550,0,0.0000
7.9981,780,0,0.0000
8.9981,1050,0,0.0000
9.9981,1360,0,0.0000
10.9981,1680,0,0.0000
11.9981,2000,0,0.0000
12.9981,2320,0,0.0000
13.9981,2640,0,0.0000
1.9981,0,0,0.0000
2.9981,30,0,0.0000
3.9981,104,0,0.0000
4.9981,188,0,0.0000
5.9981,272,0,0.0000
6.9981,356,0,0.0000
7.9981,440,0,0.0000
8.9981,524,0,0.0000
9.9981,608,0,0.0000
10.9981,692,0,0.0000
11.9981,776,0,0.0000
12.9981,860,0,0.0000
13.9981,944,0,0.0000
14.9981,1028,0,0.0000
15.9981,1112,0,0.0000
16.9981,1196,0,0.0000
17.9981,1280,0,0.0000
18.9981,1364,0,0.0000
19.9981,1448,0,0.0000
20.9981,1532,0,0.0000
21.9981,1616,0,0.0000
22.9981,1700,0,0.0000
23.9981,1784,0,0.0000
24.9981,1868,0,0.0000
25.9981,1952,0,0.0000
26.9981,2036,0,0.0000
27.9981,2120,0,0.0000
28.9981,2204,0,0.0000
1.9981,0,0,0.0000
2.9981,30,0,0.0000
3.9981,104,0,0.0000
4.9981,218,0,0.0000
5.9981,372,0,0.0000
6.9981,536,0,0.0000
7.9981,700,0,0.0000
8.9981,864,0,0.0000
9.9981,1028,0,0.0000
10.9981,1192,0,0.0000
11.9981,1356,0,0.0000
12.9981,1520,0,0.0000
13.9981,1684,0,0.0000
14.9981,1848,0,0.0000
15.9981,2012,0,0.0000
16.9981,2176,0,0.0000
17.9981,2340,0,0.0000
1.9981,0,0,0.0000
2.9981,30,0,0.0000
3.9981,104,0,0.0000
4.9981,218,0,0.0000
5.9981,372,0,0.0000
6.9981,566,0,0.0000
7.9981,800,0,0.0000
8.9981,1044,0,0.0000
9.9981,1288,0,0.0000
10.9981,1532,0,0.0000
1.9981,0,0,0.0000
2.9981,30,0,0.0000
3.9981,104,0,0.0000
4.9981,218,0,0.0000
5.9981,372,0,0.0000
6.9981,566,0,0.0000
7.9981,800,0,0.0000
8.9981,1074,0,0.0000
9.9981,1388,0,0.0000
10.9981,1712,0,0.0000
11.9981,2036,0,0.0000
12.9981,2360,0,0.0000
13.9981,2684,0,0.0000
14.9981,3008,0,0.0000
15.9981,3332,0,0.0000
16.9981,3656,0,0.0000
17.9981,3980,0,0.0000
1.9981,0,0,0.0000
2.9981,44,44,0.0000
3.9981,154,154,0.0000
4.9981,286,286,0.0000
5.9981,420,420,0.0000
6.9981,554,554,0.0000
7.9981,686,686,0.0000
8.9981,820,820,0.0000
9.9981,954,954,0.0000
10.9981,1086,1086,0.0000
11.9981,1220,1220,0.0000
12.9981,1354,1354,0.0000
13.9981,1486,1486,0.0000
14.9981,1620,1620,0.0000
15.9981,1754,1754,0.0000
16.9981,1886,1886,0.0000
17.9981,2020,2020,0.0000
18.9981,2154,2154,0.0000
19.9981,2286,2286,0.0000
20.9981,2420,2420,0.0000
21.9981,2554,2554,0.0000
22.9981,2686,2686,0.0000
23.9981,2820,2820,0.0000
24.9981,2954,2954,0.0000
25.9981,3086,3086,0.0000
26.9981,3220,3220,0.0000
27.9981,3354,3354,0.0000
28.9981,3486,3486,0.0000
29.9981,3620,3620,0.0000
30.9981,3754,3754,0.0000
31.9981,3886,3886,0.0000
32.9981,4020,4020,0.0000
33.9981,4154,4154,0.0000
1.9981,0,0,0.0000
2.9981,44,44,0.0000
3.9981,154,154,0.0000
4.9981,330,330,0.0000
5.9981,574,574,0.0000
6.9981,840,840,0.0000
