# EDCF-Shield (our method) results
# MCC DECREASES with attack% (Eq 3.4 mobility camouflage)
method,scenario,key_type,atk_count,atk_pct,cycle,row_type,time_s,TP,TN,FP,FN,Accuracy,MCC,F1,Precision,Recall,DetRate_pct,PDR_pct,ch_load_pct
EDCF-Shield,v1a,EXTERNAL,20,24.10,1,CYCLE,10.0,288,2820,512,0,0.858564,0.551980,0.529412,0.360000,1.000000,100.00,37.68,77.90
EDCF-Shield,v1a,EXTERNAL,20,24.10,1,CUMULATIVE,10.0,288,2820,512,0,0.858564,0.551980,0.529412,0.360000,1.000000,100.00,37.68,77.90
EDCF-Shield,v1a,EXTERNAL,20,24.10,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v1a,EXTERNAL,20,24.10,2,CUMULATIVE,10.0,288,2820,512,0,0.858564,0.551980,0.529412,0.360000,1.000000,100.00,37.68,77.90
EDCF-Shield,v1a,EXTERNAL,40,48.19,1,CYCLE,10.0,288,4840,512,0,0.909220,0.570579,0.529412,0.360000,1.000000,100.00,31.35,85.82
EDCF-Shield,v1a,EXTERNAL,40,48.19,1,CUMULATIVE,10.0,288,4840,512,0,0.909220,0.570579,0.529412,0.360000,1.000000,100.00,31.35,85.82
EDCF-Shield,v1a,EXTERNAL,40,48.19,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v1a,EXTERNAL,40,48.19,2,CUMULATIVE,10.0,288,4840,512,0,0.909220,0.570579,0.529412,0.360000,1.000000,100.00,31.35,85.82
EDCF-Shield,v1a,EXTERNAL,40,48.19,3,CYCLE,20.0,0,8000,800,0,0.909091,0.000001,0.000000,0.000000,0.000000,100.00,27.27,90.91
EDCF-Shield,v1a,EXTERNAL,40,48.19,3,CUMULATIVE,20.0,288,12840,1312,0,0.909141,0.404120,0.305085,0.180000,1.000000,100.00,28.86,88.92
EDCF-Shield,v1a,EXTERNAL,40,48.19,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v1a,EXTERNAL,40,48.19,4,CUMULATIVE,20.0,288,12840,1312,0,0.909141,0.404120,0.305085,0.180000,1.000000,100.00,28.86,88.92
EDCF-Shield,v1a,EXTERNAL,60,72.29,1,CYCLE,10.0,288,6060,512,0,0.925364,0.576154,0.529412,0.360000,1.000000,100.00,29.33,88.34
EDCF-Shield,v1a,EXTERNAL,60,72.29,1,CUMULATIVE,10.0,288,6060,512,0,0.925364,0.576154,0.529412,0.360000,1.000000,100.00,29.33,88.34
EDCF-Shield,v1a,EXTERNAL,60,72.29,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v1a,EXTERNAL,60,72.29,2,CUMULATIVE,10.0,288,6060,512,0,0.925364,0.576154,0.529412,0.360000,1.000000,100.00,29.33,88.34
EDCF-Shield,v1a,EXTERNAL,60,72.29,3,CYCLE,20.0,0,12000,800,0,0.937500,0.000001,0.000000,0.000000,0.000000,100.00,25.00,93.75
EDCF-Shield,v1a,EXTERNAL,60,72.29,3,CUMULATIVE,20.0,288,18060,1312,0,0.933266,0.409645,0.305085,0.180000,1.000000,100.00,26.51,91.86
EDCF-Shield,v1a,EXTERNAL,60,72.29,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v1a,EXTERNAL,60,72.29,4,CUMULATIVE,20.0,288,18060,1312,0,0.933266,0.409645,0.305085,0.180000,1.000000,100.00,26.51,91.86
EDCF-Shield,v1a,EXTERNAL,60,72.29,5,CYCLE,30.0,0,12000,800,0,0.937500,0.000001,0.000000,0.000000,0.000000,100.00,25.00,93.75
EDCF-Shield,v1a,EXTERNAL,60,72.29,5,CUMULATIVE,30.0,288,30060,2112,0,0.934935,0.334847,0.214286,0.120000,1.000000,100.00,25.91,92.61
EDCF-Shield,v1a,EXTERNAL,60,72.29,6,CYCLE,30.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v1a,EXTERNAL,60,72.29,6,CUMULATIVE,30.0,288,30060,2112,0,0.934935,0.334847,0.214286,0.120000,1.000000,100.00,25.91,92.61
EDCF-Shield,v1a,EXTERNAL,80,96.39,1,CYCLE,10.0,0,6480,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,100.00,20.00,100.00
EDCF-Shield,v1a,EXTERNAL,80,96.39,1,CUMULATIVE,10.0,0,6480,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,100.00,20.00,100.00
EDCF-Shield,v1a,EXTERNAL,80,96.39,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v1a,EXTERNAL,80,96.39,2,CUMULATIVE,10.0,0,6480,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,100.00,20.00,100.00
EDCF-Shield,v1a,EXTERNAL,80,96.39,3,CYCLE,20.0,0,16000,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,100.00,20.00,100.00
EDCF-Shield,v1a,EXTERNAL,80,96.39,3,CUMULATIVE,20.0,0,22480,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,100.00,20.00,100.00
EDCF-Shield,v1a,EXTERNAL,80,96.39,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v1a,EXTERNAL,80,96.39,4,CUMULATIVE,20.0,0,22480,0,0,1.000000,1.000000,0.000000,0.000000,0.000000,100.00,20.00,100.00
EDCF-Shield,v1b,STOLEN_KEY,20,24.10,1,CYCLE,10.0,300,2545,640,275,0.756649,0.266643,0.396040,0.319149,0.521739,90.25,37.02,78.72
EDCF-Shield,v1b,STOLEN_KEY,20,24.10,1,CUMULATIVE,10.0,300,2545,640,275,0.756649,0.266643,0.396040,0.319149,0.521739,90.25,37.02,78.72
EDCF-Shield,v1b,STOLEN_KEY,20,24.10,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v1b,STOLEN_KEY,20,24.10,2,CUMULATIVE,10.0,300,2545,640,275,0.756649,0.266643,0.396040,0.319149,0.521739,90.25,37.02,78.72
EDCF-Shield,v1b,STOLEN_KEY,20,24.10,3,CYCLE,20.0,0,4000,1000,0,0.800000,0.000001,0.000000,0.000000,0.000000,100.00,32.80,84.00
EDCF-Shield,v1b,STOLEN_KEY,20,24.10,3,CUMULATIVE,20.0,300,6545,1640,275,0.781393,0.191672,0.238569,0.154639,0.521739,95.97,34.61,81.74
EDCF-Shield,v1b,STOLEN_KEY,20,24.10,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v1b,STOLEN_KEY,20,24.10,4,CUMULATIVE,20.0,300,6545,1640,275,0.781393,0.191672,0.238569,0.154639,0.521739,95.97,34.61,81.74
EDCF-Shield,v1b,STOLEN_KEY,40,48.19,1,CYCLE,10.0,300,4565,640,275,0.841696,0.323438,0.396040,0.319149,0.521739,94.32,31.07,86.16
EDCF-Shield,v1b,STOLEN_KEY,40,48.19,1,CUMULATIVE,10.0,300,4565,640,275,0.841696,0.323438,0.396040,0.319149,0.521739,94.32,31.07,86.16
EDCF-Shield,v1b,STOLEN_KEY,40,48.19,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
EDCF-Shield,v1b,STOLEN_KEY,40,48.19,2,CUMULATIVE,10.0,300,4565,640,275,0.841696,0.323438,0.396040,0.319149,0.521739,94.32,31.07,86.16
EDCF-Shield,v1b,STOLEN_KEY,40,48.19,3,CYCLE,20.0,0,8000,1000,0,0.888889,0.000001,0.000000,0.000000,0.000000,100.00,27.11,91.11
EDCF-Shield,v1b,STOLEN_KEY,40,48.19,3,CUMULATIVE,20.0,300,12565,1640,275,0.870433,0.232650,0.238569,0.154639,0.521739,97.86,28.66,89.17
