# Gyawali [19] HE-MDS evaluated on V2 attacks
# Reputation-based: detects V2 partially, blind to controller
method,scenario,key_type,atk_count,atk_pct,cycle,row_type,time_s,TP,TN,FP,FN,Accuracy,MCC,F1,Precision,Recall,DetRate_pct,PDR_pct,ch_load_pct
Gyawali_19,v2b,STOLEN_KEY,20,24.10,4,CUMULATIVE,20.0,1711,4107,93,33,0.978802,0.949661,0.964487,0.948448,0.981078,99.20,61.99,47.51
Gyawali_19,v2b,STOLEN_KEY,40,48.19,1,CYCLE,10.0,810,2257,74,743,0.789650,0.572283,0.664752,0.916290,0.521571,75.23,55.01,56.24
Gyawali_19,v2b,STOLEN_KEY,40,48.19,1,CUMULATIVE,10.0,810,2257,74,743,0.789650,0.572283,0.664752,0.916290,0.521571,75.23,55.01,56.24
Gyawali_19,v2b,STOLEN_KEY,40,48.19,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Gyawali_19,v2b,STOLEN_KEY,40,48.19,2,CUMULATIVE,10.0,810,2257,74,743,0.789650,0.572283,0.664752,0.916290,0.521571,75.23,55.01,56.24
Gyawali_19,v2b,STOLEN_KEY,60,72.29,1,CYCLE,10.0,765,2291,119,1489,0.655232,0.369777,0.487572,0.865385,0.339397,60.61,50.65,61.69
Gyawali_19,v2b,STOLEN_KEY,60,72.29,1,CUMULATIVE,10.0,765,2291,119,1489,0.655232,0.369777,0.487572,0.865385,0.339397,60.61,50.65,61.69
Gyawali_19,v2b,STOLEN_KEY,60,72.29,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Gyawali_19,v2b,STOLEN_KEY,60,72.29,2,CUMULATIVE,10.0,765,2291,119,1489,0.655232,0.369777,0.487572,0.865385,0.339397,60.61,50.65,61.69
Gyawali_19,v2b,STOLEN_KEY,80,96.39,1,CYCLE,10.0,71,2300,13,1780,0.569404,0.115708,0.073385,0.845238,0.038358,56.37,20.00,100.00
Gyawali_19,v2b,STOLEN_KEY,80,96.39,1,CUMULATIVE,10.0,71,2300,13,1780,0.569404,0.115708,0.073385,0.845238,0.038358,56.37,20.00,100.00
Gyawali_19,v2b,STOLEN_KEY,80,96.39,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Gyawali_19,v2b,STOLEN_KEY,80,96.39,2,CUMULATIVE,10.0,71,2300,13,1780,0.569404,0.115708,0.073385,0.845238,0.038358,56.37,20.00,100.00
