sim_time_s,cpu_percent,mem_mb
14.00,514.36,141.52
15.00,512.87,141.52
2.00,547.03,141.34
3.00,531.01,141.52
4.00,530.50,141.53
5.00,526.00,141.53
6.00,520.67,141.54
7.00,516.57,141.54
8.00,517.50,141.54
9.00,518.56,141.54
10.00,516.40,141.54
11.00,515.64,141.54
12.00,513.67,141.54
13.00,512.23,141.54
14.00,511.86,141.54
15.00,512.73,141.54
2.00,525.00,141.28
3.00,515.33,141.45
4.00,516.25,141.45
5.00,519.40,141.46
6.00,517.00,141.46
7.00,516.71,141.47
8.00,514.00,141.47
9.00,512.00,141.47
10.00,512.10,141.47
11.00,512.00,141.47
12.00,514.00,141.47
13.00,514.92,141.47
14.00,515.28,141.47
2.00,516.50,141.32
3.00,508.99,141.49
4.00,507.49,141.49
5.00,505.39,141.49
6.00,509.83,141.49
7.00,516.86,141.51
8.00,515.50,141.51
9.00,515.44,141.51
10.00,513.80,141.51
11.00,513.54,141.51
12.00,512.00,141.51
13.00,514.00,141.51
14.00,513.07,141.51
15.00,511.47,141.51
16.00,510.00,141.51
17.00,509.41,141.51
18.00,508.28,141.51
19.00,507.79,141.51
20.00,507.90,141.51
21.00,507.76,141.51
22.00,507.04,141.51
23.00,506.74,141.51
24.00,506.46,141.51
25.00,505.72,141.51
26.00,505.04,141.51
27.00,506.15,141.51
28.00,505.64,141.51
29.00,505.17,141.51
2.00,510.99,141.35
3.00,523.67,141.53
4.00,519.75,141.53
5.00,516.00,141.54
6.00,514.66,141.54
7.00,514.00,141.55
8.00,511.50,141.55
9.00,509.11,141.55
10.00,518.50,141.55
11.00,516.73,141.55
12.00,514.67,141.55
13.00,513.92,141.55
14.00,512.00,141.55
15.00,510.33,141.55
16.00,509.81,141.55
17.00,512.88,141.55
18.00,511.55,141.55
2.00,509.49,141.34
3.00,528.00,141.52
4.00,526.00,141.52
5.00,520.40,141.52
6.00,515.83,141.52
7.00,515.57,141.53
8.00,513.50,141.53
9.00,514.44,141.53
10.00,519.40,141.53
11.00,519.00,141.53
2.00,506.99,141.27
3.00,502.99,141.44
4.00,511.00,141.45
5.00,507.79,141.45
6.00,505.16,141.45
7.00,508.71,141.46
8.00,506.75,141.46
9.00,505.22,141.46
10.00,507.20,141.46
11.00,510.00,141.46
12.00,509.91,141.46
13.00,512.77,141.46
14.00,511.28,141.46
15.00,509.87,141.46
16.00,508.44,141.46
17.00,509.35,141.46
18.00,509.00,141.46
2.00,525.00,141.20
3.00,529.01,141.39
4.00,520.50,141.39
5.00,520.80,141.39
6.00,517.00,141.39
7.00,513.86,141.39
8.00,512.50,141.39
9.00,513.55,141.39
10.00,512.10,141.39
11.00,511.91,141.39
12.00,510.16,141.39
13.00,508.77,141.39
14.00,507.36,141.39
15.00,507.80,141.39
16.00,508.87,141.39
17.00,508.18,141.39
18.00,508.00,141.39
19.00,507.58,141.39
20.00,506.55,141.39
21.00,506.14,141.39
22.00,505.45,141.39
23.00,505.96,141.39
24.00,505.33,141.39
25.00,505.12,141.39
26.00,504.34,141.39
27.00,503.63,141.39
28.00,503.39,141.39
29.00,503.86,141.39
30.00,505.37,141.39
31.00,505.26,141.39
32.00,505.28,141.39
33.00,504.70,141.39
34.00,504.47,141.39
2.00,543.02,141.28
3.00,526.67,141.46
4.00,518.00,141.46
5.00,515.80,141.46
6.00,512.83,141.46
7.00,512.00,141.48
8.00,515.25,141.48
9.00,513.67,141.48
10.00,515.90,141.48
11.00,513.82,141.48
12.00,513.33,141.48
13.00,511.38,141.48
14.00,511.86,141.48
15.00,511.20,141.48
16.00,509.94,141.48
17.00,508.65,141.48
18.00,508.05,141.48
19.00,507.00,141.48
20.00,506.70,141.48
21.00,509.09,141.48
22.00,508.64,141.48
23.00,508.61,141.48
24.00,507.83,141.48
2.00,534.51,141.36
3.00,522.67,141.54
4.00,515.25,141.54
5.00,511.00,141.54
6.00,513.66,141.54
7.00,510.57,141.55
8.00,510.12,141.55
9.00,515.11,141.55
10.00,513.30,141.55
11.00,515.09,141.55
12.00,514.58,141.55
13.00,513.00,141.55
14.00,511.36,141.55
15.00,514.40,141.55
16.00,516.50,141.55
17.00,515.06,141.55
18.00,513.50,141.55
19.00,512.89,141.55
20.00,511.70,141.55
21.00,511.81,141.55
22.00,513.64,141.55
23.00,513.22,141.55
24.00,512.62,141.55
25.00,512.44,141.55
26.00,512.61,141.55
27.00,511.67,141.55
28.00,510.75,141.55
29.00,512.31,141.55
30.00,511.57,141.55
31.00,510.74,141.55
32.00,510.50,141.55
33.00,509.97,141.55
34.00,509.35,141.55
35.00,509.43,141.55
36.00,509.97,141.55
37.00,509.40,141.55
38.00,509.34,141.55
2.00,505.49,141.35
3.00,517.66,141.52
4.00,512.00,141.52
5.00,508.40,141.54
6.00,507.16,141.54
7.00,505.00,141.54
8.00,503.62,141.54
9.00,506.89,141.54
10.00,509.80,141.54
11.00,508.73,141.54
12.00,509.25,141.54
13.00,509.15,141.54
14.00,507.64,141.54
15.00,506.26,141.54
16.00,507.50,141.54
17.00,509.12,141.54
18.00,508.22,141.54
19.00,509.00,141.54
20.00,508.20,141.54
21.00,507.33,141.54
22.00,506.95,141.54
2.00,524.00,141.30
3.00,513.66,141.49
4.00,508.49,141.49
5.00,508.60,141.50
6.00,511.33,141.50
7.00,509.00,141.50
8.00,509.50,141.50
9.00,507.77,141.50
10.00,506.40,141.50
11.00,507.36,141.50
12.00,508.41,141.50
13.00,510.69,141.50
14.00,510.14,141.50
15.00,509.80,141.50
16.00,508.44,141.50
17.00,507.17,141.50
18.00,506.78,141.50
19.00,508.16,141.50
20.00,507.55,141.50
21.00,507.28,141.50
22.00,506.36,141.50
23.00,505.48,141.50
