# Anyanwu [16] RBF-SVM evaluated on V1 attacks
# Volume-based: detects V1 partially, blind to V2/V3
method,scenario,key_type,atk_count,atk_pct,cycle,row_type,time_s,TP,TN,FP,FN,Accuracy,MCC,F1,Precision,Recall,DetRate_pct,PDR_pct,ch_load_pct
Anyanwu_16,v1b,STOLEN_KEY,20,24.10,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Anyanwu_16,v1b,STOLEN_KEY,20,24.10,2,CUMULATIVE,10.0,891,1394,49,1426,0.607713,0.393740,0.547129,0.947872,0.384549,49.43,37.02,78.72
Anyanwu_16,v1b,STOLEN_KEY,20,24.10,3,CYCLE,20.0,923,1964,77,2036,0.577400,0.336927,0.466279,0.923000,0.311930,49.10,32.80,84.00
Anyanwu_16,v1b,STOLEN_KEY,20,24.10,3,CUMULATIVE,20.0,1814,3358,126,3462,0.590411,0.362630,0.502772,0.935052,0.343821,49.24,34.61,81.74
Anyanwu_16,v1b,STOLEN_KEY,20,24.10,4,CYCLE,20.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Anyanwu_16,v1b,STOLEN_KEY,20,24.10,4,CUMULATIVE,20.0,1814,3358,126,3462,0.590411,0.362630,0.502772,0.935052,0.343821,49.24,34.61,81.74
Anyanwu_16,v1b,STOLEN_KEY,40,48.19,1,CYCLE,10.0,817,510,123,4330,0.229585,-0.030109,0.268441,0.869149,0.158733,10.54,31.07,86.16
Anyanwu_16,v1b,STOLEN_KEY,40,48.19,1,CUMULATIVE,10.0,817,510,123,4330,0.229585,-0.030109,0.268441,0.869149,0.158733,10.54,31.07,86.16
Anyanwu_16,v1b,STOLEN_KEY,40,48.19,2,CYCLE,10.0,0,0,0,0,1.000000,0.000000,0.000000,0.000000,0.000000,0.00,100.00,0.00
Anyanwu_16,v1b,STOLEN_KEY,40,48.19,2,CUMULATIVE,10.0,817,510,123,4330,0.229585,-0.030109,0.268441,0.869149,0.158733,10.54,31.07,86.16
Anyanwu_16,v1b,STOLEN_KEY,40,48.19,3,CYCLE,20.0,875,873,125,7127,0.194222,-0.015889,0.194401,0.875000,0.109348,10.91,27.11,91.11
