264, 0, 0, 0, 0, 0, 0, 0, 0, 200, 64, 
264, 0, 0, 0, 0, 0, 0, 0, 0, 200, 64, 
264, 0, 0, 0, 0, 0, 0, 0, 0, 200, 64, 
264, 0, 0, 0, 0, 0, 0, 0, 0, 200, 64, 
264, 0, 0, 0, 0, 0, 0, 0, 0, 200, 64, 
264, 0, 0, 0, 0, 0, 0, 0, 0, 200, 64, 
264, 0, 0, 0, 0, 0, 0, 0, 0, 200, 64, 
264, 0, 0, 0, 0, 0, 0, 0, 0, 200, 64, 
264, 8, 2211.46, 2088.9, 21, -17, 0, 0, 0, 200, 64, 
264, 9, 1121.17, 1751.28, 20, -20, 0, 0, 0, 200, 64, 
264, 10, 1243.13, 1825.85, -15, -11, 0, 0, 0, 200, 64, 
264, 11, 1454.44, 2074.97, 13, 13, 0, 0, 0, 200, 64, 
264, 12, 1607.92, 1994.97, 20, 13, 0, 0, 0, 200, 64, 
264, 13, 2189.29, 1553.09, -15, -16, 0, 0, 0, 200, 64, 
264, 14, 1494.32, 1964.89, 13, -21, 0, 0, 0, 200, 64, 
264, 15, 1631.96, 2124.18, -18, -16, 0, 0, 0, 200, 64, 
264, 16, 2036.46, 1969.97, 21, 16, 0, 0, 0, 200, 64, 
264, 17, 1506.04, 2219.46, 20, -14, 0, 0, 0, 200, 64, 
264, 18, 852.845, 1550.33, -19, -11, 0, 0, 0, 200, 64, 
264, 19, 1912.97, 2305.64, -14, 12, 0, 0, 0, 200, 64, 
264, 20, 1571.9, 1951.98, -15, 19, 0, 0, 0, 200, 64, 
264, 21, 2227, 2252.14, 12, 12, 0, 0, 0, 200, 64, 
264, 22, 1521.56, 1427.53, -14, -14, 0, 0, 0, 200, 64, 
264, 23, 1945.96, 2340.32, -17, 17, 0, 0, 0, 200, 64, 
264, 24, 1523.05, 2005.9, 14, -18, 0, 0, 0, 200, 64, 
264, 25, 1578.47, 1951.97, -18, 14, 0, 0, 0, 200, 64, 
264, 26, 1563.2, 2021.54, 14, -19, 0, 0, 0, 200, 64, 
264, 27, 908.362, 1274.86, -20, -12, 0, 0, 0, 200, 64, 
264, 28, 1514.58, 1889.98, -18, 19, 0, 0, 0, 200, 64, 
264, 29, 1756.06, 2060.79, -20, 12, 0, 0, 0, 200, 64, 
264, 30, 1005.88, 2350.11, 12, -11, 0, 0, 0, 200, 64, 
264, 31, 1630.74, 1866.28, 14, -18, 0, 0, 0, 200, 64, 
264, 32, 890.294, 1263.65, 21, -20, 0, 0, 0, 200, 64, 
264, 33, 1634.22, 2062.27, -18, -21, 0, 0, 0, 200, 64, 
264, 34, 1603.89, 1950.91, -20, -11, 0, 0, 0, 200, 64, 
264, 35, 836.782, 1466.98, -20, -18, 0, 0, 0, 200, 64, 
264, 36, 1648.45, 2260.06, -13, -12, 0, 0, 0, 200, 64, 
264, 37, 926.795, 1518.05, -14, 14, 0, 0, 0, 200, 64, 
264, 38, 1438.91, 1865.04, -14, 17, 0, 0, 0, 200, 64, 
264, 39, 846.786, 1445.04, -18, 11, 0, 0, 0, 200, 64, 
264, 40, 838.788, 1495.04, -17, 11, 0, 0, 0, 200, 64, 
264, 41, 2063.59, 1778.33, 14, -12, 0, 0, 0, 200, 64, 
264, 42, 1944.16, 2126.91, 18, -12, 0, 0, 0, 200, 64, 
264, 43, 1112.44, 1595.82, 20, -19, 0, 0, 0, 200, 64, 
264, 44, 1955.74, 2053.89, 21, -20, 0, 0, 0, 200, 64, 
264, 45, 922.559, 1874.79, 14, 11, 0, 0, 0, 200, 64, 
264, 46, 1110.43, 1435.61, 13, -12, 0, 0, 0, 200, 64, 
264, 47, 1124.7, 1473.08, -16, 20, 0, 0, 0, 200, 64, 
264, 48, 1142.82, 1564.65, -16, -20, 0, 0, 0, 200, 64, 
264, 49, 1584.9, 1717.97, -14, -15, 0, 0, 0, 200, 64, 
264, 50, 1419.95, 2236.31, -21, -16, 0, 0, 0, 200, 64, 
264, 51, 948.903, 2304.18, 20, 17, 0, 0, 0, 200, 64, 
264, 52, 1444.29, 2183.2, -16, -18, 0, 0, 0, 200, 64, 
264, 53, 1500.01, 2172.4, -16, -15, 0, 0, 0, 200, 64, 
264, 54, 1452.48, 1904.9, 11, -17, 0, 0, 0, 200, 64, 
264, 55, 1382.02, 2240.48, 21, 20, 0, 0, 0, 200, 64, 
264, 56, 1349.47, 2237.55, -17, 20, 0, 0, 0, 200, 64, 
264, 57, 2157.37, 2025.91, -16, -11, 0, 0, 0, 200, 64, 
264, 58, 1477.9, 1682.11, -14, 13, 0, 0, 0, 200, 64, 
264, 59, 1460.89, 2103.68, -20, -20, 0, 0, 0, 200, 64, 
264, 60, 1230.6, 1881.59, -12, -13, 0, 0, 0, 200, 64, 
264, 61, 2033.18, 1901.45, 16, 20, 0, 0, 0, 200, 64, 
264, 62, 1102.8, 1450.86, 11, 19, 0, 0, 0, 200, 64, 
264, 63, 1089.53, 2080.97, -20, 15, 0, 0, 0, 200, 64, 
264, 64, 1619.84, 1992.9, -17, -15, 0, 0, 0, 200, 64, 
264, 65, 1457.5, 1270.08, -11, 12, 0, 0, 0, 200, 64, 
264, 66, 1350.2, 2074.91, -20, -12, 0, 0, 0, 200, 64, 
