scenario,atk_count,cycle,time_s,node_id,phi,theta,sig_flag,hmac_ok,zeta
v3a,30,1,2.000000,5,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,5,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,6,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,6,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,7,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,7,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,8,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,8,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,9,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,9,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,10,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,10,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,11,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,11,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,12,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,12,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,13,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,13,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,14,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,14,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,15,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,15,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,16,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,16,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,17,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,17,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,18,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,18,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,19,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,19,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,20,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,20,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,21,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,21,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,22,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,22,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,23,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,23,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,24,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,24,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,25,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,25,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,26,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,26,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,27,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,27,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,28,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,28,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,29,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,29,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,30,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,30,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,31,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,31,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,32,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,32,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,33,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,33,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,34,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.000000,34,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,5,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,5,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,6,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,6,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,7,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,7,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,8,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,8,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,9,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,9,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,10,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,10,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,11,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,11,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,12,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,12,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,13,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,13,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,14,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,14,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,15,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,15,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,16,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,16,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,17,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,17,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,18,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,18,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,19,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,19,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,20,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,20,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,21,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,21,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,22,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,22,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,23,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,23,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,24,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,24,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,25,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,25,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,26,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,26,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,27,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,27,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,28,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,28,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,29,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,29,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,30,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,30,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,31,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,31,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,32,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,32,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,33,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,33,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,34,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.300000,34,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.600000,5,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.600000,5,1.000000,0.900000,1,1,0.000000
v3a,30,1,2.600000,6,0.000000,0.900000,0,1,0.000000
v3a,30,1,2.600000,6,1.000000,0.900000,1,1,0.000000
v3a,30,1,2.600000,7,0.000000,0.900000,0,1,0.000000
