sim_time_s,flowmod_cumulative,flowmod_attack_cumulative,excess_rate_per_s
27.9981,46800,0,0.0000
28.9981,48600,0,0.0000
1.9981,0,0,0.0000
2.9981,300,0,0.0000
3.9981,610,0,0.0000
4.9981,920,0,0.0000
5.9981,1230,0,0.0000
6.9981,1540,0,0.0000
7.9981,1850,0,0.0000
8.9981,2160,0,0.0000
9.9981,2470,0,0.0000
10.9981,2780,0,0.0000
11.9981,3090,0,0.0000
12.9981,3400,0,0.0000
13.9981,3710,0,0.0000
14.9981,4020,0,0.0000
15.9981,4330,0,0.0000
16.9981,4640,0,0.0000
17.9981,4950,0,0.0000
18.9981,5260,0,0.0000
19.9981,5570,0,0.0000
20.9981,5880,0,0.0000
21.9981,6190,0,0.0000
22.9981,6500,0,0.0000
23.9981,6810,0,0.0000
24.9981,7120,0,0.0000
25.9981,7430,0,0.0000
26.9981,7740,0,0.0000
27.9981,8050,0,0.0000
28.9981,8360,0,0.0000
1.9981,0,0,0.0000
2.9981,600,0,0.0000
3.9981,1210,0,0.0000
4.9981,1820,0,0.0000
5.9981,2430,0,0.0000
6.9981,3040,0,0.0000
7.9981,3650,0,0.0000
8.9981,4260,0,0.0000
9.9981,4870,0,0.0000
10.9981,5480,0,0.0000
11.9981,6090,0,0.0000
12.9981,6700,0,0.0000
13.9981,7310,0,0.0000
14.9981,7920,0,0.0000
15.9981,8530,0,0.0000
16.9981,9140,0,0.0000
17.9981,9750,0,0.0000
18.9981,10360,0,0.0000
19.9981,10970,0,0.0000
20.9981,11580,0,0.0000
21.9981,12190,0,0.0000
22.9981,12800,0,0.0000
23.9981,13410,0,0.0000
24.9981,14020,0,0.0000
25.9981,14630,0,0.0000
26.9981,15240,0,0.0000
27.9981,15850,0,0.0000
28.9981,16460,0,0.0000
1.9981,0,0,0.0000
2.9981,900,0,0.0000
3.9981,1810,0,0.0000
4.9981,2720,0,0.0000
5.9981,3630,0,0.0000
6.9981,4540,0,0.0000
7.9981,5450,0,0.0000
8.9981,6360,0,0.0000
9.9981,7270,0,0.0000
10.9981,8180,0,0.0000
11.9981,9090,0,0.0000
12.9981,10000,0,0.0000
13.9981,10910,0,0.0000
14.9981,11820,0,0.0000
15.9981,12730,0,0.0000
16.9981,13640,0,0.0000
17.9981,14550,0,0.0000
18.9981,15460,0,0.0000
19.9981,16370,0,0.0000
20.9981,17280,0,0.0000
21.9981,18190,0,0.0000
22.9981,19100,0,0.0000
23.9981,20010,0,0.0000
24.9981,20920,0,0.0000
25.9981,21830,0,0.0000
26.9981,22740,0,0.0000
27.9981,23650,0,0.0000
28.9981,24560,0,0.0000
1.9981,0,0,0.0000
2.9981,1200,0,0.0000
3.9981,2410,0,0.0000
4.9981,3620,0,0.0000
5.9981,4830,0,0.0000
6.9981,6040,0,0.0000
7.9981,7250,0,0.0000
8.9981,8460,0,0.0000
9.9981,9670,0,0.0000
10.9981,10880,0,0.0000
11.9981,12090,0,0.0000
12.9981,13300,0,0.0000
13.9981,14510,0,0.0000
14.9981,15720,0,0.0000
15.9981,16930,0,0.0000
16.9981,18140,0,0.0000
17.9981,19350,0,0.0000
18.9981,20560,0,0.0000
19.9981,21770,0,0.0000
20.9981,22980,0,0.0000
21.9981,24190,0,0.0000
22.9981,25400,0,0.0000
23.9981,26610,0,0.0000
24.9981,27820,0,0.0000
25.9981,29030,0,0.0000
26.9981,30240,0,0.0000
27.9981,31450,0,0.0000
28.9981,32660,0,0.0000
1.9981,0,0,0.0000
2.9981,1500,0,0.0000
3.9981,3010,0,0.0000
4.9981,4520,0,0.0000
5.9981,6030,0,0.0000
6.9981,7540,0,0.0000
7.9981,9050,0,0.0000
8.9981,10560,0,0.0000
9.9981,12070,0,0.0000
10.9981,13580,0,0.0000
11.9981,15090,0,0.0000
12.9981,16600,0,0.0000
13.9981,18110,0,0.0000
14.9981,19620,0,0.0000
15.9981,21130,0,0.0000
16.9981,22640,0,0.0000
17.9981,24150,0,0.0000
18.9981,25660,0,0.0000
19.9981,27170,0,0.0000
20.9981,28680,0,0.0000
21.9981,30190,0,0.0000
22.9981,31700,0,0.0000
23.9981,33210,0,0.0000
24.9981,34720,0,0.0000
25.9981,36230,0,0.0000
26.9981,37740,0,0.0000
27.9981,39250,0,0.0000
28.9981,40760,0,0.0000
1.9981,0,0,0.0000
2.9981,1800,0,0.0000
3.9981,3610,0,0.0000
4.9981,5420,0,0.0000
5.9981,7230,0,0.0000
6.9981,9040,0,0.0000
7.9981,10850,0,0.0000
8.9981,12660,0,0.0000
9.9981,14470,0,0.0000
10.9981,16280,0,0.0000
11.9981,18090,0,0.0000
12.9981,19900,0,0.0000
13.9981,21710,0,0.0000
14.9981,23520,0,0.0000
15.9981,25330,0,0.0000
16.9981,27140,0,0.0000
17.9981,28950,0,0.0000
18.9981,30760,0,0.0000
19.9981,32570,0,0.0000
20.9981,34380,0,0.0000
21.9981,36190,0,0.0000
22.9981,38000,0,0.0000
23.9981,39810,0,0.0000
24.9981,41620,0,0.0000
25.9981,43430,0,0.0000
26.9981,45240,0,0.0000
27.9981,47050,0,0.0000
28.9981,48860,0,0.0000
1.9981,0,0,0.0000
2.9981,883,0,0.0000
3.9981,883,0,0.0000
4.9981,1709,0,0.0000
5.9981,1709,0,0.0000
6.9981,1709,0,0.0000
7.9981,2544,0,0.0000
8.9981,2544,0,0.0000
9.9981,3345,0,0.0000
10.9981,3345,0,0.0000
11.9981,3345,0,0.0000
12.9981,4149,0,0.0000
13.9981,4149,0,0.0000
14.9981,4977,0,0.0000
15.9981,4977,0,0.0000
16.9981,4977,0,0.0000
17.9981,5760,0,0.0000
18.9981,5760,0,0.0000
19.9981,6648,0,0.0000
20.9981,6648,0,0.0000
21.9981,6648,0,0.0000
22.9981,7479,0,0.0000
23.9981,7479,0,0.0000
24.9981,8293,0,0.0000
25.9981,8293,0,0.0000
26.9981,8293,0,0.0000
27.9981,9038,0,0.0000
28.9981,9038,0,0.0000
1.9981,0,0,0.0000
2.9981,1737,0,0.0000
3.9981,1737,0,0.0000
4.9981,3350,0,0.0000
