variant,mu,gamma,val_MCC
V1,0.45,0.61,0.7052
V1,0.45,0.62,0.7061
V1,0.45,0.63,0.707
V1,0.45,0.64,0.7087
V1,0.45,0.65,0.7091
V1,0.45,0.66,0.7074
V1,0.45,0.67,0.7077
V1,0.45,0.68,0.7057
V1,0.45,0.69,0.7008
V1,0.45,0.7,0.7004
V1,0.45,0.71,0.698
V1,0.45,0.72,0.6956
V1,0.45,0.73,0.6942
V1,0.45,0.74,0.6879
V1,0.45,0.75,0.6772
V1,0.45,0.76,0.6612
V1,0.45,0.77,0.6527
V1,0.45,0.78,0.6303
V1,0.45,0.79,0.5952
V1,0.45,0.8,0.5568
V1,0.45,0.81,0.5153
V1,0.45,0.82,0.4749
V1,0.45,0.83,0.4276
V1,0.45,0.84,0.3728
V1,0.45,0.85,0.3097
V1,0.45,0.86,0.2765
V1,0.45,0.87,0.2536
V1,0.45,0.88,0.2114
V1,0.45,0.89,0.1584
V1,0.45,0.9,0.1046
V1,0.45,0.91,0.0579
V1,0.45,0.92,0.0387
V1,0.45,0.93,0.0
V1,0.45,0.94,0.0
V1,0.45,0.95,0.0
V1,0.5,0.05,0.6642
V1,0.5,0.06,0.6642
V1,0.5,0.07,0.6642
V1,0.5,0.08,0.6642
V1,0.5,0.09,0.6642
V1,0.5,0.1,0.6642
V1,0.5,0.11,0.6642
V1,0.5,0.12,0.6642
V1,0.5,0.13,0.6642
V1,0.5,0.14,0.6642
V1,0.5,0.15,0.6642
V1,0.5,0.16,0.6642
V1,0.5,0.17,0.6642
V1,0.5,0.18,0.6642
V1,0.5,0.19,0.6642
V1,0.5,0.2,0.6642
V1,0.5,0.21,0.6642
V1,0.5,0.22,0.6642
V1,0.5,0.23,0.6642
V1,0.5,0.24,0.6642
V1,0.5,0.25,0.6642
V1,0.5,0.26,0.6642
V1,0.5,0.27,0.6642
V1,0.5,0.28,0.6642
V1,0.5,0.29,0.6642
V1,0.5,0.3,0.6642
V1,0.5,0.31,0.6642
V1,0.5,0.32,0.6642
V1,0.5,0.33,0.6642
V1,0.5,0.34,0.6642
V1,0.5,0.35,0.6642
V1,0.5,0.36,0.6642
V1,0.5,0.37,0.6642
V1,0.5,0.38,0.6642
V1,0.5,0.39,0.6642
V1,0.5,0.4,0.6736
V1,0.5,0.41,0.6797
V1,0.5,0.42,0.6829
V1,0.5,0.43,0.6833
V1,0.5,0.44,0.6874
V1,0.5,0.45,0.6907
V1,0.5,0.46,0.6928
V1,0.5,0.47,0.6941
V1,0.5,0.48,0.6949
V1,0.5,0.49,0.6962
V1,0.5,0.5,0.6966
V1,0.5,0.51,0.6979
V1,0.5,0.52,0.6988
V1,0.5,0.53,0.7005
V1,0.5,0.54,0.7009
V1,0.5,0.55,0.7022
V1,0.5,0.56,0.703
V1,0.5,0.57,0.7039
V1,0.5,0.58,0.7043
V1,0.5,0.59,0.7052
V1,0.5,0.6,0.7065
V1,0.5,0.61,0.7078
V1,0.5,0.62,0.7087
V1,0.5,0.63,0.7081
V1,0.5,0.64,0.7074
V1,0.5,0.65,0.7061
V1,0.5,0.66,0.7053
V1,0.5,0.67,0.7018
V1,0.5,0.68,0.701
V1,0.5,0.69,0.6982
V1,0.5,0.7,0.6978
V1,0.5,0.71,0.6928
V1,0.5,0.72,0.6903
V1,0.5,0.73,0.6854
V1,0.5,0.74,0.6721
V1,0.5,0.75,0.6589
V1,0.5,0.76,0.65
V1,0.5,0.77,0.6284
V1,0.5,0.78,0.5982
V1,0.5,0.79,0.5643
V1,0.5,0.8,0.5265
V1,0.5,0.81,0.4979
V1,0.5,0.82,0.4559
V1,0.5,0.83,0.4109
V1,0.5,0.84,0.3482
V1,0.5,0.85,0.2992
V1,0.5,0.86,0.2686
V1,0.5,0.87,0.2471
V1,0.5,0.88,0.2236
V1,0.5,0.89,0.1813
V1,0.5,0.9,0.1305
V1,0.5,0.91,0.0917
V1,0.5,0.92,0.021
V1,0.5,0.93,-0.0065
V1,0.5,0.94,0.0
V1,0.5,0.95,0.0
V1,0.55,0.05,0.6642
V1,0.55,0.06,0.6642
V1,0.55,0.07,0.6642
V1,0.55,0.08,0.6642
V1,0.55,0.09,0.6642
V1,0.55,0.1,0.6642
V1,0.55,0.11,0.6642
V1,0.55,0.12,0.6642
V1,0.55,0.13,0.6642
V1,0.55,0.14,0.6642
V1,0.55,0.15,0.6642
V1,0.55,0.16,0.6642
V1,0.55,0.17,0.6642
V1,0.55,0.18,0.6642
V1,0.55,0.19,0.6642
V1,0.55,0.2,0.6642
V1,0.55,0.21,0.6642
V1,0.55,0.22,0.6642
V1,0.55,0.23,0.6642
V1,0.55,0.24,0.6642
V1,0.55,0.25,0.6642
V1,0.55,0.26,0.6642
V1,0.55,0.27,0.6642
V1,0.55,0.28,0.6642
V1,0.55,0.29,0.6642
V1,0.55,0.3,0.6642
V1,0.55,0.31,0.6642
V1,0.55,0.32,0.6642
V1,0.55,0.33,0.6642
V1,0.55,0.34,0.6642
V1,0.55,0.35,0.6642
V1,0.55,0.36,0.6728
V1,0.55,0.37,0.6797
V1,0.55,0.38,0.6825
V1,0.55,0.39,0.6841
V1,0.55,0.4,0.687
V1,0.55,0.41,0.6903
V1,0.55,0.42,0.692
V1,0.55,0.43,0.6937
V1,0.55,0.44,0.6945
V1,0.55,0.45,0.6954
V1,0.55,0.46,0.6962
V1,0.55,0.47,0.6966
V1,0.55,0.48,0.6979
V1,0.55,0.49,0.6992
V1,0.55,0.5,0.7005
V1,0.55,0.51,0.7009
V1,0.55,0.52,0.7018
V1,0.55,0.53,0.703
V1,0.55,0.54,0.7035
V1,0.55,0.55,0.7043
V1,0.55,0.56,0.7043
V1,0.55,0.57,0.7056
V1,0.55,0.58,0.7065
V1,0.55,0.59,0.7083
V1,0.55,0.6,0.7091
V1,0.55,0.61,0.7081
V1,0.55,0.62,0.7063
V1,0.55,0.63,0.7057
V1,0.55,0.64,0.7049
V1,0.55,0.65,0.7029
V1,0.55,0.66,0.701
V1,0.55,0.67,0.6978
V1,0.55,0.68,0.6985
V1,0.55,0.69,0.6946
V1,0.55,0.7,0.6942
V1,0.55,0.71,0.6875
V1,0.55,0.72,0.6825
V1,0.55,0.73,0.6671
V1,0.55,0.74,0.6571
V1,0.55,0.75,0.6482
V1,0.55,0.76,0.6284
V1,0.55,0.77,0.6026
V1,0.55,0.78,0.5742
V1,0.55,0.79,0.5377
V1,0.55,0.8,0.5053
V1,0.55,0.81,0.472
V1,0.55,0.82,0.4378
V1,0.55,0.83,0.3809
V1,0.55,0.84,0.3307
V1,0.55,0.85,0.2959
V1,0.55,0.86,0.2675
V1,0.55,0.87,0.2437
V1,0.55,0.88,0.2203
V1,0.55,0.89,0.1936
V1,0.55,0.9,0.157
V1,0.55,0.91,0.0971
V1,0.55,0.92,0.0729
V1,0.55,0.93,0.0122
V1,0.55,0.94,0.0
V1,0.55,0.95,0.0
V1,0.6,0.05,0.6642
V1,0.6,0.06,0.6642
V1,0.6,0.07,0.6642
V1,0.6,0.08,0.6642
V1,0.6,0.09,0.6642
V1,0.6,0.1,0.6642
V1,0.6,0.11,0.6642
V1,0.6,0.12,0.6642
V1,0.6,0.13,0.6642
V1,0.6,0.14,0.6642
V1,0.6,0.15,0.6642
V1,0.6,0.16,0.6642
V1,0.6,0.17,0.6642
V1,0.6,0.18,0.6642
V1,0.6,0.19,0.6642
V1,0.6,0.2,0.6642
V1,0.6,0.21,0.6642
V1,0.6,0.22,0.6642
V1,0.6,0.23,0.6642
V1,0.6,0.24,0.6642
V1,0.6,0.25,0.6642
V1,0.6,0.26,0.6642
V1,0.6,0.27,0.6642
V1,0.6,0.28,0.6642
V1,0.6,0.29,0.6642
V1,0.6,0.3,0.6642
V1,0.6,0.31,0.6642
V1,0.6,0.32,0.672
V1,0.6,0.33,0.6797
V1,0.6,0.34,0.6817
V1,0.6,0.35,0.6854
V1,0.6,0.36,0.6866
V1,0.6,0.37,0.6899
V1,0.6,0.38,0.6912
V1,0.6,0.39,0.6933
V1,0.6,0.4,0.6941
V1,0.6,0.41,0.6949
V1,0.6,0.42,0.6958
V1,0.6,0.43,0.6962
V1,0.6,0.44,0.6971
V1,0.6,0.45,0.6979
V1,0.6,0.46,0.6996
V1,0.6,0.47,0.7005
V1,0.6,0.48,0.7013
V1,0.6,0.49,0.7018
V1,0.6,0.5,0.703
V1,0.6,0.51,0.7035
V1,0.6,0.52,0.7039
V1,0.6,0.53,0.7043
V1,0.6,0.54,0.7048
V1,0.6,0.55,0.7061
V1,0.6,0.56,0.7074
V1,0.6,0.57,0.7083
V1,0.6,0.58,0.7076
V1,0.6,0.59,0.707
V1,0.6,0.6,0.7063
V1,0.6,0.61,0.7057
V1,0.6,0.62,0.7049
V1,0.6,0.63,0.702
V1,0.6,0.64,0.7001
V1,0.6,0.65,0.6978
V1,0.6,0.66,0.6976
V1,0.6,0.67,0.6952
V1,0.6,0.68,0.6937
V1,0.6,0.69,0.6898
V1,0.6,0.7,0.6862
V1,0.6,0.71,0.6762
V1,0.6,0.72,0.6665
V1,0.6,0.73,0.6565
V1,0.6,0.74,0.6482
V1,0.6,0.75,0.6279
V1,0.6,0.76,0.605
V1,0.6,0.77,0.578
V1,0.6,0.78,0.5461
V1,0.6,0.79,0.5164
V1,0.6,0.8,0.4959
V1,0.6,0.81,0.4566
V1,0.6,0.82,0.4192
V1,0.6,0.83,0.3686
V1,0.6,0.84,0.3236
V1,0.6,0.85,0.29
V1,0.6,0.86,0.2644
V1,0.6,0.87,0.2467
V1,0.6,0.88,0.219
V1,0.6,0.89,0.1935
V1,0.6,0.9,0.1803
V1,0.6,0.91,0.1236
V1,0.6,0.92,0.0919
V1,0.6,0.93,0.0199
V1,0.6,0.94,0.0214
V1,0.6,0.95,0.0
V1,0.65,0.05,0.6642
V1,0.65,0.06,0.6642
V1,0.65,0.07,0.6642
V1,0.65,0.08,0.6642
V1,0.65,0.09,0.6642
V1,0.65,0.1,0.6642
V1,0.65,0.11,0.6642
V1,0.65,0.12,0.6642
V1,0.65,0.13,0.6642
V1,0.65,0.14,0.6642
V1,0.65,0.15,0.6642
V1,0.65,0.16,0.6642
V1,0.65,0.17,0.6642
V1,0.65,0.18,0.6642
V1,0.65,0.19,0.6642
V1,0.65,0.2,0.6642
V1,0.65,0.21,0.6642
V1,0.65,0.22,0.6642
V1,0.65,0.23,0.6642
V1,0.65,0.24,0.6642
V1,0.65,0.25,0.6642
V1,0.65,0.26,0.6642
V1,0.65,0.27,0.6642
V1,0.65,0.28,0.6709
V1,0.65,0.29,0.6792
V1,0.65,0.3,0.6813
V1,0.65,0.31,0.6858
V1,0.65,0.32,0.687
V1,0.65,0.33,0.6895
V1,0.65,0.34,0.6912
V1,0.65,0.35,0.6928
V1,0.65,0.36,0.6941
V1,0.65,0.37,0.6949
V1,0.65,0.38,0.6954
V1,0.65,0.39,0.6962
V1,0.65,0.4,0.6962
V1,0.65,0.41,0.6971
V1,0.65,0.42,0.6979
V1,0.65,0.43,0.6996
V1,0.65,0.44,0.7009
V1,0.65,0.45,0.7013
V1,0.65,0.46,0.7018
V1,0.65,0.47,0.7026
V1,0.65,0.48,0.7035
V1,0.65,0.49,0.7035
V1,0.65,0.5,0.7043
V1,0.65,0.51,0.7043
V1,0.65,0.52,0.7052
V1,0.65,0.53,0.7065
V1,0.65,0.54,0.7078
V1,0.65,0.55,0.7087
V1,0.65,0.56,0.7076
V1,0.65,0.57,0.707
V1,0.65,0.58,0.7063
V1,0.65,0.59,0.7057
V1,0.65,0.6,0.7033
V1,0.65,0.61,0.7016
V1,0.65,0.62,0.7018
V1,0.65,0.63,0.6978
V1,0.65,0.64,0.6971
V1,0.65,0.65,0.6969
V1,0.65,0.66,0.693
V1,0.65,0.67,0.6942
V1,0.65,0.68,0.6892
V1,0.65,0.69,0.6838
V1,0.65,0.7,0.6734
V1,0.65,0.71,0.6605
V1,0.65,0.72,0.656
V1,0.65,0.73,0.6466
V1,0.65,0.74,0.6279
V1,0.65,0.75,0.6074
V1,0.65,0.76,0.58
V1,0.65,0.77,0.5516
V1,0.65,0.78,0.5228
V1,0.65,0.79,0.499
V1,0.65,0.8,0.4695
V1,0.65,0.81,0.4449
V1,0.65,0.82,0.3989
V1,0.65,0.83,0.3544
V1,0.65,0.84,0.3082
V1,0.65,0.85,0.2827
V1,0.65,0.86,0.2628
V1,0.65,0.87,0.2456
V1,0.65,0.88,0.2244
V1,0.65,0.89,0.1883
V1,0.65,0.9,0.1748
V1,0.65,0.91,0.1591
V1,0.65,0.92,0.113
V1,0.65,0.93,0.0707
V1,0.65,0.94,0.022
V1,0.65,0.95,0.0
V1,0.7,0.05,0.6642
V1,0.7,0.06,0.6642
V1,0.7,0.07,0.6642
V1,0.7,0.08,0.6642
V1,0.7,0.09,0.6642
V1,0.7,0.1,0.6642
V1,0.7,0.11,0.6642
V1,0.7,0.12,0.6642
V1,0.7,0.13,0.6642
V1,0.7,0.14,0.6642
V1,0.7,0.15,0.6642
V1,0.7,0.16,0.6642
V1,0.7,0.17,0.6642
V1,0.7,0.18,0.6642
V1,0.7,0.19,0.6642
V1,0.7,0.2,0.6642
V1,0.7,0.21,0.6642
V1,0.7,0.22,0.6642
V1,0.7,0.23,0.6642
V1,0.7,0.24,0.6697
V1,0.7,0.25,0.6788
V1,0.7,0.26,0.6817
V1,0.7,0.27,0.6858
V1,0.7,0.28,0.6874
V1,0.7,0.29,0.6891
V1,0.7,0.3,0.6907
V1,0.7,0.31,0.692
V1,0.7,0.32,0.6937
V1,0.7,0.33,0.6949
V1,0.7,0.34,0.6954
V1,0.7,0.35,0.6954
V1,0.7,0.36,0.6962
V1,0.7,0.37,0.6966
V1,0.7,0.38,0.6971
V1,0.7,0.39,0.6983
V1,0.7,0.4,0.6996
V1,0.7,0.41,0.7
V1,0.7,0.42,0.7013
V1,0.7,0.43,0.7018
V1,0.7,0.44,0.7026
V1,0.7,0.45,0.703
V1,0.7,0.46,0.7035
V1,0.7,0.47,0.7039
V1,0.7,0.48,0.7043
V1,0.7,0.49,0.7048
V1,0.7,0.5,0.7052
V1,0.7,0.51,0.707
V1,0.7,0.52,0.7078
V1,0.7,0.53,0.7087
V1,0.7,0.54,0.7076
V1,0.7,0.55,0.707
V1,0.7,0.56,0.7063
V1,0.7,0.57,0.7042
V1,0.7,0.58,0.7033
V1,0.7,0.59,0.7012
V1,0.7,0.6,0.701
V1,0.7,0.61,0.6988
V1,0.7,0.62,0.6967
V1,0.7,0.63,0.6969
V1,0.7,0.64,0.6937
V1,0.7,0.65,0.6937
V1,0.7,0.66,0.6898
V1,0.7,0.67,0.6864
V1,0.7,0.68,0.6814
V1,0.7,0.69,0.6701
V1,0.7,0.7,0.6598
V1,0.7,0.71,0.6549
V1,0.7,0.72,0.6444
V1,0.7,0.73,0.6275
V1,0.7,0.74,0.6074
V1,0.7,0.75,0.5807
V1,0.7,0.76,0.555
V1,0.7,0.77,0.5291
V1,0.7,0.78,0.5056
V1,0.7,0.79,0.4854
V1,0.7,0.8,0.4566
V1,0.7,0.81,0.423
V1,0.7,0.82,0.3812
V1,0.7,0.83,0.342
V1,0.7,0.84,0.3014
V1,0.7,0.85,0.2822
V1,0.7,0.86,0.2581
V1,0.7,0.87,0.2456
V1,0.7,0.88,0.2271
V1,0.7,0.89,0.189
V1,0.7,0.9,0.1763
V1,0.7,0.91,0.1596
V1,0.7,0.92,0.1325
V1,0.7,0.93,0.1035
V1,0.7,0.94,0.0338
V1,0.7,0.95,0.0387
V1,0.75,0.05,0.6642
V1,0.75,0.06,0.6642
V1,0.75,0.07,0.6642
V1,0.75,0.08,0.6642
V1,0.75,0.09,0.6642
V1,0.75,0.1,0.6642
V1,0.75,0.11,0.6642
V1,0.75,0.12,0.6642
V1,0.75,0.13,0.6642
V1,0.75,0.14,0.6642
V1,0.75,0.15,0.6642
V1,0.75,0.16,0.6642
V1,0.75,0.17,0.6642
V1,0.75,0.18,0.6642
V1,0.75,0.19,0.6642
V1,0.75,0.2,0.6685
V1,0.75,0.21,0.6784
V1,0.75,0.22,0.6817
V1,0.75,0.23,0.6858
V1,0.75,0.24,0.6874
V1,0.75,0.25,0.6887
V1,0.75,0.26,0.6903
V1,0.75,0.27,0.692
V1,0.75,0.28,0.6928
V1,0.75,0.29,0.6941
V1,0.75,0.3,0.6949
V1,0.75,0.31,0.6954
V1,0.75,0.32,0.6954
V1,0.75,0.33,0.6962
V1,0.75,0.34,0.6971
V1,0.75,0.35,0.6971
V1,0.75,0.36,0.6988
V1,0.75,0.37,0.6996
V1,0.75,0.38,0.7
V1,0.75,0.39,0.7013
V1,0.75,0.4,0.7018
V1,0.75,0.41,0.7026
V1,0.75,0.42,0.7026
V1,0.75,0.43,0.7035
V1,0.75,0.44,0.7039
V1,0.75,0.45,0.7039
V1,0.75,0.46,0.7048
V1,0.75,0.47,0.7052
V1,0.75,0.48,0.7056
V1,0.75,0.49,0.7074
V1,0.75,0.5,0.7078
V1,0.75,0.51,0.7076
V1,0.75,0.52,0.7065
V1,0.75,0.53,0.7059
V1,0.75,0.54,0.7053
V1,0.75,0.55,0.7042
V1,0.75,0.56,0.7033
V1,0.75,0.57,0.7012
V1,0.75,0.58,0.7005
V1,0.75,0.59,0.7001
V1,0.75,0.6,0.6988
V1,0.75,0.61,0.698
V1,0.75,0.62,0.6947
V1,0.75,0.63,0.6915
V1,0.75,0.64,0.6942
V1,0.75,0.65,0.6892
V1,0.75,0.66,0.6855
V1,0.75,0.67,0.6773
V1,0.75,0.68,0.6666
V1,0.75,0.69,0.657
V1,0.75,0.7,0.6543
V1,0.75,0.71,0.6444
V1,0.75,0.72,0.6275
V1,0.75,0.73,0.6081
V1,0.75,0.74,0.5866
V1,0.75,0.75,0.5655
V1,0.75,0.76,0.5389
V1,0.75,0.77,0.5156
V1,0.75,0.78,0.496
V1,0.75,0.79,0.465
V1,0.75,0.8,0.4474
V1,0.75,0.81,0.4091
V1,0.75,0.82,0.3711
V1,0.75,0.83,0.3319
V1,0.75,0.84,0.2971
V1,0.75,0.85,0.2803
V1,0.75,0.86,0.2555
V1,0.75,0.87,0.2434
V1,0.75,0.88,0.2292
V1,0.75,0.89,0.1936
V1,0.75,0.9,0.1753
V1,0.75,0.91,0.1637
V1,0.75,0.92,0.1377
V1,0.75,0.93,0.1317
V1,0.75,0.94,0.0971
V1,0.75,0.95,0.0282
V1,0.8,0.05,0.6642
V1,0.8,0.06,0.6642
V1,0.8,0.07,0.6642
V1,0.8,0.08,0.6642
V1,0.8,0.09,0.6642
V1,0.8,0.1,0.6642
V1,0.8,0.11,0.6642
V1,0.8,0.12,0.6642
V1,0.8,0.13,0.6642
V1,0.8,0.14,0.6642
V1,0.8,0.15,0.6642
V1,0.8,0.16,0.6685
V1,0.8,0.17,0.6784
V1,0.8,0.18,0.6821
V1,0.8,0.19,0.6849
V1,0.8,0.2,0.6882
V1,0.8,0.21,0.6891
V1,0.8,0.22,0.6899
V1,0.8,0.23,0.6916
V1,0.8,0.24,0.6924
V1,0.8,0.25,0.6937
V1,0.8,0.26,0.6949
V1,0.8,0.27,0.6954
V1,0.8,0.28,0.6954
V1,0.8,0.29,0.6954
V1,0.8,0.3,0.6966
V1,0.8,0.31,0.6971
V1,0.8,0.32,0.6975
V1,0.8,0.33,0.6983
V1,0.8,0.34,0.6988
V1,0.8,0.35,0.7
V1,0.8,0.36,0.7013
V1,0.8,0.37,0.7018
V1,0.8,0.38,0.7026
V1,0.8,0.39,0.7026
V1,0.8,0.4,0.703
V1,0.8,0.41,0.7039
V1,0.8,0.42,0.7039
V1,0.8,0.43,0.7043
V1,0.8,0.44,0.7052
V1,0.8,0.45,0.7052
V1,0.8,0.46,0.7061
V1,0.8,0.47,0.7074
V1,0.8,0.48,0.7083
V1,0.8,0.49,0.7076
V1,0.8,0.5,0.7065
V1,0.8,0.51,0.7059
V1,0.8,0.52,0.7053
V1,0.8,0.53,0.7042
V1,0.8,0.54,0.7029
V1,0.8,0.55,0.7012
V1,0.8,0.56,0.7001
V1,0.8,0.57,0.7001
V1,0.8,0.58,0.6984
V1,0.8,0.59,0.6976
V1,0.8,0.6,0.6969
V1,0.8,0.61,0.6937
V1,0.8,0.62,0.6928
V1,0.8,0.63,0.6898
V1,0.8,0.64,0.6875
V1,0.8,0.65,0.6827
V1,0.8,0.66,0.6752
V1,0.8,0.67,0.666
V1,0.8,0.68,0.6564
V1,0.8,0.69,0.6538
V1,0.8,0.7,0.6439
V1,0.8,0.71,0.6275
V1,0.8,0.72,0.6094
V1,0.8,0.73,0.5895
V1,0.8,0.74,0.5696
V1,0.8,0.75,0.5478
V1,0.8,0.76,0.5208
V1,0.8,0.77,0.4994
V1,0.8,0.78,0.48
V1,0.8,0.79,0.4558
V1,0.8,0.8,0.4263
V1,0.8,0.81,0.3858
V1,0.8,0.82,0.3602
V1,0.8,0.83,0.324
V1,0.8,0.84,0.2925
V1,0.8,0.85,0.2803
V1,0.8,0.86,0.255
V1,0.8,0.87,0.2418
V1,0.8,0.88,0.2292
V1,0.8,0.89,0.1988
V1,0.8,0.9,0.1802
V1,0.8,0.91,0.1677
V1,0.8,0.92,0.1516
V1,0.8,0.93,0.1282
V1,0.8,0.94,0.1243
V1,0.8,0.95,0.0793
V1,0.85,0.05,0.6642
V1,0.85,0.06,0.6642
V1,0.85,0.07,0.6642
V1,0.85,0.08,0.6642
V1,0.85,0.09,0.6642
V1,0.85,0.1,0.6642
V1,0.85,0.11,0.6642
V1,0.85,0.12,0.6677
V1,0.85,0.13,0.6764
V1,0.85,0.14,0.6825
V1,0.85,0.15,0.6849
V1,0.85,0.16,0.6882
V1,0.85,0.17,0.6887
V1,0.85,0.18,0.6899
V1,0.85,0.19,0.6916
V1,0.85,0.2,0.6924
V1,0.85,0.21,0.6933
V1,0.85,0.22,0.6945
V1,0.85,0.23,0.6954
V1,0.85,0.24,0.6954
V1,0.85,0.25,0.6954
V1,0.85,0.26,0.6962
V1,0.85,0.27,0.6966
V1,0.85,0.28,0.6971
V1,0.85,0.29,0.6979
V1,0.85,0.3,0.6983
V1,0.85,0.31,0.6992
V1,0.85,0.32,0.7005
V1,0.85,0.33,0.7013
V1,0.85,0.34,0.7018
V1,0.85,0.35,0.7026
V1,0.85,0.36,0.7026
V1,0.85,0.37,0.703
V1,0.85,0.38,0.7039
V1,0.85,0.39,0.7039
V1,0.85,0.4,0.7039
V1,0.85,0.41,0.7048
V1,0.85,0.42,0.7052
V1,0.85,0.43,0.7056
V1,0.85,0.44,0.7065
V1,0.85,0.45,0.7074
V1,0.85,0.46,0.7072
V1,0.85,0.47,0.7076
V1,0.85,0.48,0.7065
V1,0.85,0.49,0.7059
V1,0.85,0.5,0.7053
V1,0.85,0.51,0.7042
V1,0.85,0.52,0.7029
V1,0.85,0.53,0.7012
V1,0.85,0.54,0.7001
V1,0.85,0.55,0.6997
V1,0.85,0.56,0.6979
V1,0.85,0.57,0.6982
V1,0.85,0.58,0.6969
V1,0.85,0.59,0.6947
V1,0.85,0.6,0.6919
V1,0.85,0.61,0.6922
V1,0.85,0.62,0.6892
V1,0.85,0.63,0.6862
V1,0.85,0.64,0.6814
V1,0.85,0.65,0.6723
V1,0.85,0.66,0.6616
V1,0.85,0.67,0.6562
V1,0.85,0.68,0.6527
V1,0.85,0.69,0.6428
V1,0.85,0.7,0.6275
V1,0.85,0.71,0.6094
V1,0.85,0.72,0.5925
V1,0.85,0.73,0.5731
V1,0.85,0.74,0.5502
V1,0.85,0.75,0.5236
V1,0.85,0.76,0.5065
V1,0.85,0.77,0.4958
V1,0.85,0.78,0.4632
V1,0.85,0.79,0.4479
V1,0.85,0.8,0.4187
V1,0.85,0.81,0.3812
V1,0.85,0.82,0.3468
V1,0.85,0.83,0.3118
V1,0.85,0.84,0.2917
V1,0.85,0.85,0.2764
V1,0.85,0.86,0.2561
V1,0.85,0.87,0.2412
V1,0.85,0.88,0.2259
V1,0.85,0.89,0.2028
V1,0.85,0.9,0.1867
V1,0.85,0.91,0.1666
V1,0.85,0.92,0.153
V1,0.85,0.93,0.1275
V1,0.85,0.94,0.1273
V1,0.85,0.95,0.1271
V1,0.9,0.05,0.6642
V1,0.9,0.06,0.6642
V1,0.9,0.07,0.6642
V1,0.9,0.08,0.6665
V1,0.9,0.09,0.6776
V1,0.9,0.1,0.6825
V1,0.9,0.11,0.6849
V1,0.9,0.12,0.6882
V1,0.9,0.13,0.6887
V1,0.9,0.14,0.6895
V1,0.9,0.15,0.6907
V1,0.9,0.16,0.692
V1,0.9,0.17,0.6928
V1,0.9,0.18,0.6941
V1,0.9,0.19,0.6949
V1,0.9,0.2,0.6954
V1,0.9,0.21,0.6954
V1,0.9,0.22,0.6954
V1,0.9,0.23,0.6962
V1,0.9,0.24,0.6966
V1,0.9,0.25,0.6971
V1,0.9,0.26,0.6979
V1,0.9,0.27,0.6979
V1,0.9,0.28,0.6992
V1,0.9,0.29,0.7005
V1,0.9,0.3,0.7009
V1,0.9,0.31,0.7018
V1,0.9,0.32,0.7026
V1,0.9,0.33,0.7026
V1,0.9,0.34,0.703
V1,0.9,0.35,0.7035
V1,0.9,0.36,0.7039
V1,0.9,0.37,0.7039
V1,0.9,0.38,0.7043
V1,0.9,0.39,0.7052
V1,0.9,0.4,0.7052
V1,0.9,0.41,0.7061
V1,0.9,0.42,0.7065
V1,0.9,0.43,0.7078
V1,0.9,0.44,0.7072
V1,0.9,0.45,0.7065
V1,0.9,0.46,0.7065
V1,0.9,0.47,0.7059
V1,0.9,0.48,0.7053
V1,0.9,0.49,0.7042
V1,0.9,0.5,0.7029
V1,0.9,0.51,0.7007
V1,0.9,0.52,0.7001
V1,0.9,0.53,0.6999
V1,0.9,0.54,0.6975
V1,0.9,0.55,0.6969
V1,0.9,0.56,0.6991
V1,0.9,0.57,0.6947
V1,0.9,0.58,0.6926
V1,0.9,0.59,0.6928
V1,0.9,0.6,0.6889
V1,0.9,0.61,0.6875
V1,0.9,0.62,0.6855
V1,0.9,0.63,0.6773
V1,0.9,0.64,0.671
V1,0.9,0.65,0.6605
V1,0.9,0.66,0.6551
V1,0.9,0.67,0.6527
V1,0.9,0.68,0.6423
V1,0.9,0.69,0.627
V1,0.9,0.7,0.6105
V1,0.9,0.71,0.5943
V1,0.9,0.72,0.5784
V1,0.9,0.73,0.5527
V1,0.9,0.74,0.5354
V1,0.9,0.75,0.5136
V1,0.9,0.76,0.497
V1,0.9,0.77,0.4763
V1,0.9,0.78,0.4548
V1,0.9,0.79,0.4332
V1,0.9,0.8,0.4039
V1,0.9,0.81,0.3711
V1,0.9,0.82,0.3354
V1,0.9,0.83,0.3047
V1,0.9,0.84,0.2883
V1,0.9,0.85,0.2704
V1,0.9,0.86,0.2561
V1,0.9,0.87,0.2401
V1,0.9,0.88,0.228
V1,0.9,0.89,0.2095
V1,0.9,0.9,0.1873
V1,0.9,0.91,0.1705
V1,0.9,0.92,0.1576
V1,0.9,0.93,0.1378
V1,0.9,0.94,0.1282
V1,0.9,0.95,0.1197
V1,0.95,0.05,0.6772
V1,0.95,0.06,0.6825
V1,0.95,0.07,0.6849
V1,0.95,0.08,0.6878
V1,0.95,0.09,0.6887
V1,0.95,0.1,0.6895
V1,0.95,0.11,0.6907
V1,0.95,0.12,0.692
V1,0.95,0.13,0.6924
V1,0.95,0.14,0.6937
V1,0.95,0.15,0.6945
V1,0.95,0.16,0.6954
V1,0.95,0.17,0.6954
V1,0.95,0.18,0.6954
V1,0.95,0.19,0.6958
V1,0.95,0.2,0.6962
V1,0.95,0.21,0.6966
V1,0.95,0.22,0.6975
V1,0.95,0.23,0.6979
V1,0.95,0.24,0.6979
V1,0.95,0.25,0.6992
V1,0.95,0.26,0.7005
V1,0.95,0.27,0.7009
V1,0.95,0.28,0.7018
