variant,mu,gamma,val_MCC
V1,0.05,0.88,0.0
V1,0.05,0.89,0.0
V1,0.05,0.9,0.0
V1,0.05,0.91,0.0
V1,0.05,0.92,0.0
V1,0.05,0.93,0.0
V1,0.05,0.94,0.0
V1,0.05,0.95,0.0
V1,0.1,0.05,0.6274
V1,0.1,0.06,0.6274
V1,0.1,0.07,0.6642
V1,0.1,0.08,0.6642
V1,0.1,0.09,0.6642
V1,0.1,0.1,0.6642
V1,0.1,0.11,0.6642
V1,0.1,0.12,0.6642
V1,0.1,0.13,0.6642
V1,0.1,0.14,0.6642
V1,0.1,0.15,0.6642
V1,0.1,0.16,0.6642
V1,0.1,0.17,0.6642
V1,0.1,0.18,0.6642
V1,0.1,0.19,0.6642
V1,0.1,0.2,0.6642
V1,0.1,0.21,0.6642
V1,0.1,0.22,0.6642
V1,0.1,0.23,0.6642
V1,0.1,0.24,0.6642
V1,0.1,0.25,0.6642
V1,0.1,0.26,0.6642
V1,0.1,0.27,0.6642
V1,0.1,0.28,0.6642
V1,0.1,0.29,0.6642
V1,0.1,0.3,0.6642
V1,0.1,0.31,0.6642
V1,0.1,0.32,0.6642
V1,0.1,0.33,0.6642
V1,0.1,0.34,0.6642
V1,0.1,0.35,0.6642
V1,0.1,0.36,0.6642
V1,0.1,0.37,0.6642
V1,0.1,0.38,0.6642
V1,0.1,0.39,0.6642
V1,0.1,0.4,0.6642
V1,0.1,0.41,0.6642
V1,0.1,0.42,0.6642
V1,0.1,0.43,0.6642
V1,0.1,0.44,0.6642
V1,0.1,0.45,0.6642
V1,0.1,0.46,0.6642
V1,0.1,0.47,0.6642
V1,0.1,0.48,0.6642
V1,0.1,0.49,0.6642
V1,0.1,0.5,0.6642
V1,0.1,0.51,0.6642
V1,0.1,0.52,0.6642
V1,0.1,0.53,0.6642
V1,0.1,0.54,0.6642
V1,0.1,0.55,0.6642
V1,0.1,0.56,0.6642
V1,0.1,0.57,0.6642
V1,0.1,0.58,0.6642
V1,0.1,0.59,0.6642
V1,0.1,0.6,0.6642
V1,0.1,0.61,0.6642
V1,0.1,0.62,0.6642
V1,0.1,0.63,0.6642
V1,0.1,0.64,0.6642
V1,0.1,0.65,0.6642
V1,0.1,0.66,0.6642
V1,0.1,0.67,0.6642
V1,0.1,0.68,0.6642
V1,0.1,0.69,0.6642
V1,0.1,0.7,0.6642
V1,0.1,0.71,0.6642
V1,0.1,0.72,0.6829
V1,0.1,0.73,0.6866
V1,0.1,0.74,0.6903
V1,0.1,0.75,0.6912
V1,0.1,0.76,0.6933
V1,0.1,0.77,0.6943
V1,0.1,0.78,0.7002
V1,0.1,0.79,0.7063
V1,0.1,0.8,0.7127
V1,0.1,0.81,0.7236
V1,0.1,0.82,0.7231
V1,0.1,0.83,0.7148
V1,0.1,0.84,0.7001
V1,0.1,0.85,0.6215
V1,0.1,0.86,0.4273
V1,0.1,0.87,0.2146
V1,0.1,0.88,-0.0065
V1,0.1,0.89,0.0
V1,0.1,0.9,0.0
V1,0.1,0.91,0.0
V1,0.1,0.92,0.0
V1,0.1,0.93,0.0
V1,0.1,0.94,0.0
V1,0.1,0.95,0.0
V1,0.15,0.05,0.6274
V1,0.15,0.06,0.6274
V1,0.15,0.07,0.6642
V1,0.15,0.08,0.6642
V1,0.15,0.09,0.6642
V1,0.15,0.1,0.6642
