scenario,atk_count,cycle,time_s,node_id,v_idx,is_attacker,label,phi_v1_i,phi_v2_i,phi_v3_i,s_BC,bcn_rate_i,tau_dir,zeta,zscore_v1_i,fanout_i,bcn_count_i,alert_in_i,alert_out_i,fm_count_i,xi_tm_i,detected,hmac_valid,pos_x,pos_y,last_vx,last_vy,ctrl_id,rsu_id
v1a,30,0,1.998,31,26,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,1678.121,1901.751,13.0,-15.0,2,62
v1a,30,0,1.998,32,27,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,967.844,2267.123,-12.0,-13.0,3,59
v1a,30,0,1.998,33,28,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,1677.692,1904.336,-14.0,18.0,0,62
v1a,30,0,1.998,34,29,1,V1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.160759,0.0,0,0,0,0,0.0,0,1,990.229,1258.719,-17.0,20.0,1,43
v1a,30,0,1.998,35,30,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1680.28,1902.339,21.0,20.0,2,62
v1a,30,0,1.998,36,31,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1565.914,1983.915,-21.0,-20.0,3,62
v1a,30,0,1.998,37,32,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,830.842,1491.995,14.0,-20.0,0,43
v1a,30,0,1.998,38,33,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1781.492,2154.103,14.0,15.0,1,63
v1a,30,0,1.998,39,34,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,862.844,1496.001,16.0,-15.0,2,43
v1a,30,0,1.998,40,35,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1531.956,1095.012,18.0,-14.0,3,38
v1a,30,0,1.998,41,36,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,827.804,1496.001,-21.0,-15.0,0,43
v1a,30,0,1.998,42,37,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,828.815,1522.996,-11.0,-19.0,1,51
v1a,30,0,1.998,43,38,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,2087.572,1802.371,14.0,13.0,2,63
v1a,30,0,1.998,44,39,0,benign,0.0,0.0,0.0,0.0,4.504324,1.0,0.0,-0.313342,0.0,9,0,0,0,0.0,0,1,1930.099,1976.92,-17.0,-16.0,3,63
v1a,30,0,1.998,45,40,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1049.419,1519.886,20.0,18.0,0,52
v1a,30,0,1.998,46,41,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,2026.674,2017.959,-21.0,20.0,1,63
v1a,30,0,1.998,47,42,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,937.539,1922.79,11.0,21.0,2,59
v1a,30,0,1.998,48,43,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1052.415,1510.619,17.0,-17.0,3,52
v1a,30,0,1.998,49,44,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1054.752,1539.051,14.0,13.0,0,52
v1a,30,0,1.998,50,45,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1078.876,1519.712,18.0,14.0,1,52
v1a,30,0,1.998,51,46,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1531.958,1786.019,19.0,11.0,2,62
v1a,30,0,1.998,52,47,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1484.978,2180.362,-18.0,14.0,3,61
v1a,30,0,1.998,53,48,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,943.844,2260.152,-12.0,14.0,0,59
v1a,30,0,1.998,54,49,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1480.312,2183.25,-14.0,12.0,1,61
v1a,30,0,1.998,55,50,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1459.033,2184.424,-13.0,-12.0,2,61
v1a,30,0,1.998,56,51,0,benign,0.0,0.0,0.0,0.0,4.504324,1.0,0.0,-0.313342,0.0,9,0,0,0,0.0,0,1,1437.436,2010.923,-19.0,-13.0,3,61
v1a,30,0,1.998,57,52,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1271.985,2239.449,17.0,11.0,0,61
v1a,30,0,1.998,58,53,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1446.521,2177.53,13.0,21.0,1,61
v1a,30,0,1.998,59,54,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,2080.422,1984.925,14.0,-11.0,2,63
v1a,30,0,1.998,60,55,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1534.918,1814.061,-18.0,-15.0,3,62
v1a,30,0,1.998,61,56,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1533.951,2123.742,13.0,14.0,0,62
v1a,30,0,1.998,62,57,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1287.64,1851.638,12.0,19.0,1,61
v1a,30,0,1.998,63,58,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1992.165,1943.419,17.0,11.0,2,63
v1a,30,0,1.998,64,59,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1244.756,1486.801,-19.0,-15.0,3,44
v1a,30,0,1.998,65,60,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1127.598,2017.954,19.0,16.0,0,60
v1a,30,0,1.998,66,61,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1512.865,1976.924,-11.0,-12.0,1,62
v1a,30,0,1.998,67,62,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1434.54,1308.034,12.0,-21.0,2,45
v1a,30,0,1.998,68,63,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1477.225,2011.959,-20.0,20.0,3,61
v1a,30,0,1.998,69,64,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1513.689,1977.949,-17.0,11.0,0,62
v1a,30,0,1.998,70,65,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1527.914,1574.645,-21.0,17.0,1,54
v1a,30,0,1.998,71,66,0,benign,0.0,0.0,0.0,0.0,5.004805,1.0,0.0,0.003037,0.0,10,0,0,0,0.0,0,1,1505.933,2012.919,-13.0,-17.0,2,62
