scenario,atk_count,cycle,time_s,t_mem,rho_novelty_override,atk_events,novel_events,rho_novelty
v1b,90,7,14.000000,5.000000,-1.000000,1820,0,0.000000
v1b,90,8,14.500000,5.000000,-1.000000,91,0,0.000000
v1b,120,1,2.000000,5.000000,-1.000000,0,0,0.000000
v1b,120,2,4.000000,5.000000,-1.000000,2410,121,0.050207
v1b,120,3,6.000000,5.000000,-1.000000,2420,0,0.000000
v1b,120,4,8.000000,5.000000,-1.000000,2420,0,0.000000
v1b,120,5,10.000000,5.000000,-1.000000,2420,0,0.000000
v1b,120,6,12.000000,5.000000,-1.000000,2420,0,0.000000
v1b,120,7,14.000000,5.000000,-1.000000,2420,0,0.000000
v1b,120,8,14.500000,5.000000,-1.000000,121,0,0.000000
v1b,150,1,2.000000,5.000000,-1.000000,0,0,0.000000
v1b,150,2,4.000000,5.000000,-1.000000,3010,151,0.050166
v1b,150,3,6.000000,5.000000,-1.000000,3020,0,0.000000
v1b,150,4,8.000000,5.000000,-1.000000,3020,0,0.000000
v1b,150,5,10.000000,5.000000,-1.000000,3020,0,0.000000
v1b,150,6,12.000000,5.000000,-1.000000,3020,0,0.000000
v1b,150,7,14.000000,5.000000,-1.000000,3020,0,0.000000
v1b,150,8,14.500000,5.000000,-1.000000,151,0,0.000000
v1b,180,1,2.000000,5.000000,-1.000000,0,0,0.000000
v1b,180,2,4.000000,5.000000,-1.000000,3610,181,0.050139
v1b,180,3,6.000000,5.000000,-1.000000,3620,0,0.000000
v1b,180,4,8.000000,5.000000,-1.000000,3620,0,0.000000
v1b,180,5,10.000000,5.000000,-1.000000,3620,0,0.000000
v1b,180,6,12.000000,5.000000,-1.000000,3620,0,0.000000
v1b,180,7,14.000000,5.000000,-1.000000,3620,0,0.000000
v1b,180,8,14.500000,5.000000,-1.000000,181,0,0.000000
v2a,30,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2a,30,2,4.000000,5.000000,-1.000000,86,30,0.348837
v2a,30,3,6.000000,5.000000,-1.000000,86,0,0.000000
v2a,30,4,8.000000,5.000000,-1.000000,86,0,0.000000
v2a,30,5,10.000000,5.000000,-1.000000,85,0,0.000000
v2a,30,6,12.000000,5.000000,-1.000000,0,0,0.000000
v2a,30,7,14.000000,5.000000,-1.000000,86,0,0.000000
v2a,30,8,14.500000,5.000000,-1.000000,0,0,0.000000
v2a,60,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2a,60,2,4.000000,5.000000,-1.000000,172,60,0.348837
v2a,60,3,6.000000,5.000000,-1.000000,171,0,0.000000
v2a,60,4,8.000000,5.000000,-1.000000,172,0,0.000000
v2a,60,5,10.000000,5.000000,-1.000000,171,0,0.000000
v2a,60,6,12.000000,5.000000,-1.000000,0,0,0.000000
v2a,60,7,14.000000,5.000000,-1.000000,172,0,0.000000
v2a,60,8,14.500000,5.000000,-1.000000,0,0,0.000000
v2a,90,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2a,90,2,4.000000,5.000000,-1.000000,258,90,0.348837
v2a,90,3,6.000000,5.000000,-1.000000,257,0,0.000000
v2a,90,4,8.000000,5.000000,-1.000000,257,0,0.000000
v2a,90,5,10.000000,5.000000,-1.000000,257,0,0.000000
v2a,90,6,12.000000,5.000000,-1.000000,0,0,0.000000
v2a,90,7,14.000000,5.000000,-1.000000,257,0,0.000000
v2a,90,8,14.500000,5.000000,-1.000000,0,0,0.000000
v2a,120,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2a,120,2,4.000000,5.000000,-1.000000,343,120,0.349854
v2a,120,3,6.000000,5.000000,-1.000000,343,0,0.000000
v2a,120,4,8.000000,5.000000,-1.000000,343,0,0.000000
v2a,120,5,10.000000,5.000000,-1.000000,343,0,0.000000
v2a,120,6,12.000000,5.000000,-1.000000,0,0,0.000000
v2a,120,7,14.000000,5.000000,-1.000000,343,0,0.000000
v2a,120,8,14.500000,5.000000,-1.000000,0,0,0.000000
v2a,150,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2a,150,2,4.000000,5.000000,-1.000000,429,150,0.349650
v2a,150,3,6.000000,5.000000,-1.000000,429,0,0.000000
v2a,150,4,8.000000,5.000000,-1.000000,428,0,0.000000
v2a,150,5,10.000000,5.000000,-1.000000,429,0,0.000000
v2a,150,6,12.000000,5.000000,-1.000000,0,0,0.000000
v2a,150,7,14.000000,5.000000,-1.000000,428,0,0.000000
v2a,150,8,14.500000,5.000000,-1.000000,0,0,0.000000
v2a,180,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2a,180,2,4.000000,5.000000,-1.000000,515,180,0.349515
v2a,180,3,6.000000,5.000000,-1.000000,514,0,0.000000
v2a,180,4,8.000000,5.000000,-1.000000,514,0,0.000000
v2a,180,5,10.000000,5.000000,-1.000000,515,0,0.000000
v2a,180,6,12.000000,5.000000,-1.000000,0,0,0.000000
v2a,180,7,14.000000,5.000000,-1.000000,514,0,0.000000
v2a,180,8,14.500000,5.000000,-1.000000,0,0,0.000000
v2b,30,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2b,30,2,4.000000,5.000000,-1.000000,89,31,0.348315
v2b,30,3,6.000000,5.000000,-1.000000,89,0,0.000000
v2b,30,4,8.000000,5.000000,-1.000000,85,0,0.000000
v2b,30,5,10.000000,5.000000,-1.000000,89,0,0.000000
v2b,30,6,12.000000,5.000000,-1.000000,3,0,0.000000
v2b,30,7,14.000000,5.000000,-1.000000,88,0,0.000000
v2b,30,8,14.500000,5.000000,-1.000000,0,0,0.000000
v2b,60,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2b,60,2,4.000000,5.000000,-1.000000,175,61,0.348571
v2b,60,3,6.000000,5.000000,-1.000000,174,0,0.000000
v2b,60,4,8.000000,5.000000,-1.000000,171,0,0.000000
v2b,60,5,10.000000,5.000000,-1.000000,175,0,0.000000
v2b,60,6,12.000000,5.000000,-1.000000,3,0,0.000000
v2b,60,7,14.000000,5.000000,-1.000000,174,0,0.000000
v2b,60,8,14.500000,5.000000,-1.000000,0,0,0.000000
v2b,90,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2b,90,2,4.000000,5.000000,-1.000000,260,91,0.350000
v2b,90,3,6.000000,5.000000,-1.000000,260,0,0.000000
v2b,90,4,8.000000,5.000000,-1.000000,258,0,0.000000
v2b,90,5,10.000000,5.000000,-1.000000,260,0,0.000000
v2b,90,6,12.000000,5.000000,-1.000000,2,0,0.000000
v2b,90,7,14.000000,5.000000,-1.000000,260,0,0.000000
v2b,90,8,14.500000,5.000000,-1.000000,0,0,0.000000
v2b,120,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2b,120,2,4.000000,5.000000,-1.000000,346,121,0.349711
v2b,120,3,6.000000,5.000000,-1.000000,346,0,0.000000
v2b,120,4,8.000000,5.000000,-1.000000,343,0,0.000000
v2b,120,5,10.000000,5.000000,-1.000000,345,0,0.000000
v2b,120,6,12.000000,5.000000,-1.000000,3,0,0.000000
v2b,120,7,14.000000,5.000000,-1.000000,346,0,0.000000
v2b,120,8,14.500000,5.000000,-1.000000,0,0,0.000000
v2b,150,1,2.000000,5.000000,-1.000000,0,0,0.000000
v2b,150,2,4.000000,5.000000,-1.000000,432,151,0.349537
v2b,150,3,6.000000,5.000000,-1.000000,431,0,0.000000
v2b,150,4,8.000000,5.000000,-1.000000,429,0,0.000000
